name,task,metric,best_acc,last_acc,n_points,final_iter,state,ckpt,baseline,error
cifar10_revise_w0.1_cp0.15_s0,cifar10,test_accuracies_most_certain,0.8415,0.8392,101,200000,done,checkpoint.pt,0.6443,
cifar10_revise_w0.1_cp0.15_s1,cifar10,test_accuracies_most_certain,0.8298,0.8281,101,200000,done,checkpoint.pt,0.6443,
cifar10_revise_w0.1_cp0.15_s2,cifar10,test_accuracies_most_certain,0.8471,0.8457,101,200000,done,checkpoint.pt,0.6443,
cifar10_revise_w0.1_cp0.15_s3,cifar10,test_accuracies_most_certain,0.8453,0.8449,101,200000,done,checkpoint.pt,0.6443,
cifar10_revise_w0.1_cp0.15_s4,cifar10,test_accuracies_most_certain,0.8464,0.8444,101,200000,done,checkpoint.pt,0.6443,
mazes_abl_block1_s0,mazes,test_accuracies_most_certain,0.91648,0.88773,100,100000,done,checkpoint.pt,0.9117,
mazes_abl_block1_s1,mazes,test_accuracies_most_certain,0.91131,0.9102,100,100000,done,checkpoint.pt,0.9117,
mazes_abl_block1_s2,mazes,test_accuracies_most_certain,0.89957,0.89846,100,100000,done,checkpoint.pt,0.9117,
mazes_abl_block3_s0,mazes,test_accuracies_most_certain,0.89972,0.85231,100,100000,done,checkpoint.pt,0.9117,
mazes_abl_block3_s1,mazes,test_accuracies_most_certain,0.91082,0.91005,100,100000,done,checkpoint.pt,0.9117,
mazes_abl_block3_s2,mazes,test_accuracies_most_certain,0.9011,0.89585,100,100000,done,checkpoint.pt,0.9117,
mazes_abl_full_s0,mazes,test_accuracies_most_certain,0.89536,0.89479,100,100000,done,checkpoint.pt,0.9117,
mazes_abl_full_s1,mazes,test_accuracies_most_certain,0.89454,0.88163,100,100000,done,checkpoint.pt,0.9117,
mazes_abl_full_s2,mazes,test_accuracies_most_certain,0.89842,0.89732,100,100000,done,checkpoint.pt,0.9117,
mazes_abl_no_loss_s0,mazes,test_accuracies_most_certain,0.89031,0.88935,90,90000,done,checkpoint.pt,0.9117,
mazes_abl_no_loss_s1,mazes,test_accuracies_most_certain,0.88526,0.88526,40,40000,done,checkpoint.pt,0.9117,
mazes_abl_no_noise_s0,mazes,test_accuracies_most_certain,0.90934,0.90934,100,100000,done,checkpoint.pt,0.9117,
mazes_abl_no_noise_s1,mazes,test_accuracies_most_certain,0.87116,0.7829,100,100000,done,checkpoint.pt,0.9117,
mazes_abl_no_noise_s2,mazes,test_accuracies_most_certain,0.89703,0.89662,100,100000,done,checkpoint.pt,0.9117,
mazes_revise_w0.1_cp0.15_s0,mazes,test_accuracies_most_certain,0.8941,0.8764,100,100000,done,checkpoint.pt,0.9117,
