name,task,metric,best_acc,last_acc,n_points,final_iter,state,ckpt,baseline,error
cifar10_abl_depth1_s0,cifar10,test_accuracies_most_certain,0.8375,0.8361,101,200000,done,checkpoint.pt,0.6443,
cifar10_abl_depth1_s1,cifar10,test_accuracies_most_certain,0.8434,0.8414,101,200000,done,checkpoint.pt,0.6443,
cifar10_abl_depth1_s2,cifar10,test_accuracies_most_certain,0.8489,0.8461,101,200000,done,checkpoint.pt,0.6443,
cifar10_abl_depth4_s0,cifar10,test_accuracies_most_certain,0.8379,0.8375,101,200000,done,checkpoint.pt,0.6443,
cifar10_abl_depth4_s1,cifar10,test_accuracies_most_certain,0.8433,0.8414,101,200000,done,checkpoint.pt,0.6443,
cifar10_abl_depth4_s2,cifar10,test_accuracies_most_certain,0.8473,0.8441,101,200000,done,checkpoint.pt,0.6443,
cifar10_abl_full_s0,cifar10,test_accuracies_most_certain,0.842,0.8399,101,200000,done,checkpoint.pt,0.6443,
cifar10_abl_full_s1,cifar10,test_accuracies_most_certain,0.8381,0.8357,101,200000,done,checkpoint.pt,0.6443,
cifar10_abl_full_s2,cifar10,test_accuracies_most_certain,0.8495,0.8478,101,200000,done,checkpoint.pt,0.6443,
cifar10_abl_hid256_s0,cifar10,test_accuracies_most_certain,0.8424,0.8424,101,200000,done,checkpoint.pt,0.6443,
cifar10_abl_hid256_s1,cifar10,test_accuracies_most_certain,0.8445,0.8429,101,200000,done,checkpoint.pt,0.6443,
cifar10_abl_hid256_s2,cifar10,test_accuracies_most_certain,0.8466,0.845,101,200000,done,checkpoint.pt,0.6443,
cifar10_abl_hid64_s0,cifar10,test_accuracies_most_certain,0.834,0.81,101,200000,done,checkpoint.pt,0.6443,
cifar10_abl_hid64_s1,cifar10,test_accuracies_most_certain,0.8367,0.8356,101,200000,done,checkpoint.pt,0.6443,
cifar10_abl_hid64_s2,cifar10,test_accuracies_most_certain,0.8421,0.8395,101,200000,done,checkpoint.pt,0.6443,
cifar10_abl_loss_mse_s0,cifar10,test_accuracies_most_certain,0.8128,0.5243,101,200000,done,checkpoint.pt,0.6443,
cifar10_abl_loss_mse_s1,cifar10,test_accuracies_most_certain,0.7346,0.7337,101,200000,done,checkpoint.pt,0.6443,
cifar10_abl_loss_mse_s2,cifar10,test_accuracies_most_certain,0.8367,0.6866,101,200000,done,checkpoint.pt,0.6443,
cifar10_abl_no_stopgrad_s0,cifar10,test_accuracies_most_certain,0.8324,0.8294,101,200000,done,checkpoint.pt,0.6443,
cifar10_abl_no_stopgrad_s1,cifar10,test_accuracies_most_certain,0.8367,0.8364,101,200000,done,checkpoint.pt,0.6443,
cifar10_abl_no_stopgrad_s2,cifar10,test_accuracies_most_certain,0.8439,0.8437,101,200000,done,checkpoint.pt,0.6443,
cifar10_jepa_w0p1_s0,cifar10,test_accuracies_most_certain,0.8424,0.8403,101,200000,done,checkpoint.pt,0.6443,
cifar10_jepa_w0p1_s1,cifar10,test_accuracies_most_certain,0.8472,0.8438,101,200000,done,checkpoint.pt,0.6443,
cifar10_jepa_w0p1_s2,cifar10,test_accuracies_most_certain,0.8457,0.8445,72,142000,done,checkpoint.pt,0.6443,
cifar10_jepa_w0p1_s3,cifar10,test_accuracies_most_certain,0.8368,0.7217,49,96000,done,checkpoint.pt,0.6443,
cifar10_jepa_w0p1_s4,cifar10,test_accuracies_most_certain,0.8423,0.8409,101,200000,done,checkpoint.pt,0.6443,
cifar10_swp_w0p02_s0,cifar10,test_accuracies_most_certain,0.8459,0.8454,69,136000,done,checkpoint.pt,0.6443,
cifar10_swp_w0p02_s1,cifar10,test_accuracies_most_certain,0.8322,0.8302,91,180000,done,checkpoint.pt,0.6443,
cifar10_swp_w0p02_s2,cifar10,test_accuracies_most_certain,0.8504,0.8483,101,200000,done,checkpoint.pt,0.6443,
cifar10_swp_w0p05_s0,cifar10,test_accuracies_most_certain,0.8378,0.8365,101,200000,done,checkpoint.pt,0.6443,
cifar10_swp_w0p05_s1,cifar10,test_accuracies_most_certain,0.8422,0.8411,101,200000,done,checkpoint.pt,0.6443,
cifar10_swp_w0p05_s2,cifar10,test_accuracies_most_certain,0.8483,0.8456,101,200000,done,checkpoint.pt,0.6443,
cifar10_swp_w0p1_s0,cifar10,test_accuracies_most_certain,0.8475,0.8458,93,184000,done,checkpoint.pt,0.6443,
cifar10_swp_w0p1_s1,cifar10,test_accuracies_most_certain,0.8475,0.8461,101,200000,done,checkpoint.pt,0.6443,
cifar10_swp_w0p1_s2,cifar10,test_accuracies_most_certain,0.8475,0.8454,101,200000,done,checkpoint.pt,0.6443,
cifar10_swp_w0p2_s0,cifar10,test_accuracies_most_certain,0.8359,0.8351,101,200000,done,checkpoint.pt,0.6443,
cifar10_swp_w0p2_s1,cifar10,test_accuracies_most_certain,0.8378,0.8364,101,200000,done,checkpoint.pt,0.6443,
cifar10_swp_w0p2_s2,cifar10,test_accuracies_most_certain,0.8434,0.8422,101,200000,done,checkpoint.pt,0.6443,
cifar10_swp_w0p3_s0,cifar10,test_accuracies_most_certain,0.8337,0.832,101,200000,done,checkpoint.pt,0.6443,
cifar10_swp_w0p3_s1,cifar10,test_accuracies_most_certain,0.8345,0.8313,101,200000,done,checkpoint.pt,0.6443,
cifar10_swp_w0p3_s2,cifar10,test_accuracies_most_certain,0.8501,0.8491,101,200000,done,checkpoint.pt,0.6443,
cifar10_swp_w0p5_s0,cifar10,test_accuracies_most_certain,0.836,0.8347,101,200000,done,checkpoint.pt,0.6443,
cifar10_swp_w0p5_s1,cifar10,test_accuracies_most_certain,0.8419,0.8404,101,200000,done,checkpoint.pt,0.6443,
cifar10_swp_w0p5_s2,cifar10,test_accuracies_most_certain,0.855,0.8525,101,200000,done,checkpoint.pt,0.6443,
mazes_abl_depth1_s0,mazes,test_accuracies_most_certain,0.8973,0.8973,100,100000,done,checkpoint.pt,0.9117,
mazes_abl_depth1_s1,mazes,test_accuracies_most_certain,0.89171,0.89161,100,100000,done,checkpoint.pt,0.9117,
mazes_abl_depth1_s2,mazes,test_accuracies_most_certain,0.89943,0.89793,100,100000,done,checkpoint.pt,0.9117,
mazes_abl_depth4_s0,mazes,test_accuracies_most_certain,0.90888,0.90842,100,100000,done,checkpoint.pt,0.9117,
mazes_abl_depth4_s1,mazes,test_accuracies_most_certain,0.91552,0.91478,100,100000,done,checkpoint.pt,0.9117,
mazes_abl_depth4_s2,mazes,test_accuracies_most_certain,0.90601,0.90498,100,100000,done,checkpoint.pt,0.9117,
mazes_abl_full_s0,mazes,test_accuracies_most_certain,0.90793,0.90793,100,100000,done,checkpoint.pt,0.9117,
mazes_abl_full_s1,mazes,test_accuracies_most_certain,0.91375,0.91295,100,100000,done,checkpoint.pt,0.9117,
mazes_abl_full_s2,mazes,test_accuracies_most_certain,0.8868,0.88613,100,100000,done,checkpoint.pt,0.9117,
mazes_abl_hid256_s0,mazes,test_accuracies_most_certain,0.90783,0.90549,100,100000,done,checkpoint.pt,0.9117,
mazes_abl_hid256_s1,mazes,test_accuracies_most_certain,0.9047,0.90434,100,100000,done,checkpoint.pt,0.9117,
mazes_abl_hid256_s2,mazes,test_accuracies_most_certain,0.89155,0.89014,100,100000,done,checkpoint.pt,0.9117,
mazes_abl_hid64_s0,mazes,test_accuracies_most_certain,0.88228,0.88198,100,100000,done,checkpoint.pt,0.9117,
mazes_abl_hid64_s1,mazes,test_accuracies_most_certain,0.90983,0.90902,100,100000,done,checkpoint.pt,0.9117,
mazes_abl_hid64_s2,mazes,test_accuracies_most_certain,0.90824,0.90752,100,100000,done,checkpoint.pt,0.9117,
mazes_abl_loss_mse_s0,mazes,test_accuracies_most_certain,0.89229,0.89115,100,100000,done,checkpoint.pt,0.9117,
mazes_abl_loss_mse_s1,mazes,test_accuracies_most_certain,0.91415,0.91287,100,100000,done,checkpoint.pt,0.9117,
mazes_abl_loss_mse_s2,mazes,test_accuracies_most_certain,0.9005,0.90021,100,100000,done,checkpoint.pt,0.9117,
mazes_abl_no_stopgrad_s0,mazes,test_accuracies_most_certain,0.9125,0.91105,100,100000,done,checkpoint.pt,0.9117,
mazes_abl_no_stopgrad_s1,mazes,test_accuracies_most_certain,0.90416,0.8888,100,100000,done,checkpoint.pt,0.9117,
mazes_abl_no_stopgrad_s2,mazes,test_accuracies_most_certain,0.89336,0.88801,100,100000,done,checkpoint.pt,0.9117,
mazes_jepa_w0p1_s0,mazes,test_accuracies_most_certain,0.91329,0.91205,100,100000,done,checkpoint.pt,0.9117,
mazes_jepa_w0p1_s1,mazes,test_accuracies_most_certain,0.91388,0.91312,90,90000,done,checkpoint.pt,0.9117,
mazes_jepa_w0p1_s2,mazes,test_accuracies_most_certain,0.89027,0.88947,100,100000,done,checkpoint.pt,0.9117,
mazes_jepa_w0p1_s3,mazes,test_accuracies_most_certain,0.88169,0.88116,80,80000,done,checkpoint.pt,0.9117,
mazes_jepa_w0p1_s4,mazes,test_accuracies_most_certain,0.85387,0.8022,30,30000,done,checkpoint.pt,0.9117,
mazes_swp_w0p02_s0,mazes,test_accuracies_most_certain,0.90537,0.90486,100,100000,done,checkpoint.pt,0.9117,
mazes_swp_w0p02_s1,mazes,test_accuracies_most_certain,0.88776,0.88721,100,100000,done,checkpoint.pt,0.9117,
mazes_swp_w0p02_s2,mazes,test_accuracies_most_certain,0.87155,0.85421,100,100000,done,checkpoint.pt,0.9117,
mazes_swp_w0p05_s0,mazes,test_accuracies_most_certain,0.90704,0.90669,100,100000,done,checkpoint.pt,0.9117,
mazes_swp_w0p05_s1,mazes,test_accuracies_most_certain,0.89796,0.89796,60,60000,done,checkpoint.pt,0.9117,
mazes_swp_w0p05_s2,mazes,test_accuracies_most_certain,0.89493,0.78028,60,60000,done,checkpoint.pt,0.9117,
mazes_swp_w0p1_s0,mazes,test_accuracies_most_certain,0.91002,0.90894,100,100000,done,checkpoint.pt,0.9117,
mazes_swp_w0p1_s1,mazes,test_accuracies_most_certain,0.90013,0.89629,70,70000,done,checkpoint.pt,0.9117,
mazes_swp_w0p1_s2,mazes,test_accuracies_most_certain,0.90855,0.90809,100,100000,done,checkpoint.pt,0.9117,
mazes_swp_w0p2_s0,mazes,test_accuracies_most_certain,0.90474,0.90288,100,100000,done,checkpoint.pt,0.9117,
mazes_swp_w0p2_s1,mazes,test_accuracies_most_certain,0.87814,0.87004,100,100000,done,checkpoint.pt,0.9117,
mazes_swp_w0p2_s2,mazes,test_accuracies_most_certain,0.89997,0.89997,70,70000,done,checkpoint.pt,0.9117,
mazes_swp_w0p3_s0,mazes,test_accuracies_most_certain,0.88876,0.888,100,100000,done,checkpoint.pt,0.9117,
mazes_swp_w0p3_s1,mazes,test_accuracies_most_certain,0.89721,0.8968,100,100000,done,checkpoint.pt,0.9117,
mazes_swp_w0p3_s2,mazes,test_accuracies_most_certain,0.8913,0.89109,100,100000,done,checkpoint.pt,0.9117,
mazes_swp_w0p5_s0,mazes,test_accuracies_most_certain,0.88736,0.87497,100,100000,done,checkpoint.pt,0.9117,
mazes_swp_w0p5_s1,mazes,test_accuracies_most_certain,0.90147,0.90044,100,100000,done,checkpoint.pt,0.9117,
