name,task,metric,best_acc,last_acc,n_points,final_iter,state,ckpt,baseline,error
mazes_sparsity0p5_s0,mazes,test_accuracies_most_certain,0.91406,0.91219,100,100000,done,checkpoint.pt,0.9117,
mazes_sparsity0p5_s1,mazes,test_accuracies_most_certain,0.90684,0.9067,100,100000,done,checkpoint.pt,0.9117,
mazes_sparsity0p5_s2,mazes,test_accuracies_most_certain,0.90015,0.8993,100,100000,done,checkpoint.pt,0.9117,
mazes_sparsity0p5_s3,mazes,test_accuracies_most_certain,0.89287,0.89164,100,100000,done,checkpoint.pt,0.9117,
mazes_sparsity0p5_s4,mazes,test_accuracies_most_certain,0.89464,0.89424,100,100000,done,checkpoint.pt,0.9117,
mazes_swp_r0p1_s0,mazes,test_accuracies_most_certain,0.90994,0.9081,100,100000,done,checkpoint.pt,0.9117,
mazes_swp_r0p1_s1,mazes,test_accuracies_most_certain,0.90109,0.90013,100,100000,done,checkpoint.pt,0.9117,
mazes_swp_r0p1_s2,mazes,test_accuracies_most_certain,0.89731,0.89567,100,100000,done,checkpoint.pt,0.9117,
mazes_swp_r0p25_s0,mazes,test_accuracies_most_certain,0.90994,0.9078,100,100000,done,checkpoint.pt,0.9117,
mazes_swp_r0p25_s1,mazes,test_accuracies_most_certain,0.90605,0.90552,100,100000,done,checkpoint.pt,0.9117,
mazes_swp_r0p25_s2,mazes,test_accuracies_most_certain,0.90404,0.9029,100,100000,done,checkpoint.pt,0.9117,
mazes_swp_r0p5_s0,mazes,test_accuracies_most_certain,0.87564,0.87525,100,100000,done,checkpoint.pt,0.9117,
mazes_swp_r0p5_s1,mazes,test_accuracies_most_certain,0.90949,0.90931,100,100000,done,checkpoint.pt,0.9117,
mazes_swp_r0p5_s2,mazes,test_accuracies_most_certain,0.90666,0.90588,100,100000,done,checkpoint.pt,0.9117,
mazes_swp_r0p75_s0,mazes,test_accuracies_most_certain,0.90682,0.90653,100,100000,done,checkpoint.pt,0.9117,
mazes_swp_r0p75_s1,mazes,test_accuracies_most_certain,0.86602,0.77934,100,100000,done,checkpoint.pt,0.9117,
mazes_swp_r0p75_s2,mazes,test_accuracies_most_certain,0.90651,0.90596,100,100000,done,checkpoint.pt,0.9117,
mazes_swp_r0p9_s0,mazes,test_accuracies_most_certain,0.90704,0.89682,100,100000,done,checkpoint.pt,0.9117,
mazes_swp_r0p9_s1,mazes,test_accuracies_most_certain,0.90115,0.8765,100,100000,done,checkpoint.pt,0.9117,
mazes_swp_r0p9_s2,mazes,test_accuracies_most_certain,0.88975,0.83649,100,100000,done,checkpoint.pt,0.9117,
sort_sparsity0p5_s0,sort,test_accuracies_full_list,0.6458333333333334,0.5729166666666666,101,100000,done,checkpoint.pt,0.8753,
sort_sparsity0p5_s1,sort,test_accuracies_full_list,0.8229166666666666,0.6875,101,100000,done,checkpoint.pt,0.8753,
sort_sparsity0p5_s2,sort,test_accuracies_full_list,0.75,0.5833333333333334,101,100000,done,checkpoint.pt,0.8753,
sort_sparsity0p5_s3,sort,test_accuracies_full_list,0.6666666666666666,0.6145833333333334,101,100000,done,checkpoint.pt,0.8753,
sort_sparsity0p5_s4,sort,test_accuracies_full_list,0.7083333333333334,0.7083333333333334,101,100000,done,checkpoint.pt,0.8753,
sort_swp_r0p1_s0,sort,test_accuracies_full_list,0.5104166666666666,0.4270833333333333,101,100000,done,checkpoint.pt,0.8753,
sort_swp_r0p1_s1,sort,test_accuracies_full_list,0.3854166666666667,0.3125,101,100000,done,checkpoint.pt,0.8753,
sort_swp_r0p1_s2,sort,test_accuracies_full_list,0.5729166666666666,0.4791666666666667,101,100000,done,checkpoint.pt,0.8753,
sort_swp_r0p25_s0,sort,test_accuracies_full_list,0.6041666666666666,0.5104166666666666,101,100000,done,checkpoint.pt,0.8753,
sort_swp_r0p25_s1,sort,test_accuracies_full_list,0.7916666666666666,0.7395833333333334,101,100000,done,checkpoint.pt,0.8753,
sort_swp_r0p25_s2,sort,test_accuracies_full_list,0.6770833333333334,0.5208333333333334,101,100000,done,checkpoint.pt,0.8753,
sort_swp_r0p5_s0,sort,test_accuracies_full_list,0.6458333333333334,0.5729166666666666,101,100000,done,checkpoint.pt,0.8753,
sort_swp_r0p5_s1,sort,test_accuracies_full_list,0.8229166666666666,0.6875,101,100000,done,checkpoint.pt,0.8753,
sort_swp_r0p5_s2,sort,test_accuracies_full_list,0.75,0.5833333333333334,101,100000,done,checkpoint.pt,0.8753,
sort_swp_r0p75_s0,sort,test_accuracies_full_list,0.6979166666666666,0.6875,101,100000,done,checkpoint.pt,0.8753,
sort_swp_r0p75_s1,sort,test_accuracies_full_list,0.8020833333333334,0.6666666666666666,101,100000,done,checkpoint.pt,0.8753,
sort_swp_r0p75_s2,sort,test_accuracies_full_list,0.7291666666666666,0.625,101,100000,done,checkpoint.pt,0.8753,
sort_swp_r0p9_s0,sort,test_accuracies_full_list,0.65625,0.5520833333333334,101,100000,done,checkpoint.pt,0.8753,
sort_swp_r0p9_s1,sort,test_accuracies_full_list,0.8020833333333334,0.75,101,100000,done,checkpoint.pt,0.8753,
sort_swp_r0p9_s2,sort,test_accuracies_full_list,0.6875,0.5520833333333334,101,100000,done,checkpoint.pt,0.8753,
