name,task,metric,best_acc,last_acc,n_points,final_iter,error
mazes_sparsity0p5_s0,mazes,test_accuracies_most_certain,0.91406,0.91219,100,100000,
mazes_sparsity0p5_s1,mazes,test_accuracies_most_certain,0.90684,0.9067,100,100000,
mazes_sparsity0p5_s2,mazes,test_accuracies_most_certain,0.90015,0.8993,100,100000,
mazes_sparsity0p5_s3,mazes,test_accuracies_most_certain,0.89287,0.89164,100,100000,
mazes_sparsity0p5_s4,mazes,test_accuracies_most_certain,0.89464,0.89424,100,100000,
mazes_swp_r0p1_s0,mazes,test_accuracies_most_certain,0.90994,0.9081,100,100000,
mazes_swp_r0p1_s1,mazes,test_accuracies_most_certain,0.90109,0.90013,100,100000,
mazes_swp_r0p1_s2,mazes,test_accuracies_most_certain,0.89731,0.89567,100,100000,
mazes_swp_r0p25_s0,mazes,test_accuracies_most_certain,0.90994,0.9078,100,100000,
mazes_swp_r0p25_s1,mazes,test_accuracies_most_certain,0.90605,0.90552,100,100000,
mazes_swp_r0p25_s2,mazes,test_accuracies_most_certain,0.90404,0.9029,100,100000,
mazes_swp_r0p5_s0,mazes,test_accuracies_most_certain,0.87564,0.87525,100,100000,
mazes_swp_r0p5_s1,mazes,test_accuracies_most_certain,0.90949,0.90931,100,100000,
mazes_swp_r0p5_s2,mazes,test_accuracies_most_certain,0.90666,0.90588,100,100000,
mazes_swp_r0p75_s0,mazes,test_accuracies_most_certain,0.90682,0.90653,100,100000,
mazes_swp_r0p75_s1,mazes,test_accuracies_most_certain,0.86602,0.77934,100,100000,
mazes_swp_r0p75_s2,mazes,test_accuracies_most_certain,0.90651,0.90596,100,100000,
mazes_swp_r0p9_s0,mazes,test_accuracies_most_certain,0.90704,0.89682,100,100000,
mazes_swp_r0p9_s1,mazes,test_accuracies_most_certain,0.90115,0.8765,100,100000,
mazes_swp_r0p9_s2,mazes,test_accuracies_most_certain,0.88975,0.83649,100,100000,
sort_sparsity0p5_s0,sort,test_accuracies,0.8861111111111111,0.8493055555555555,101,100000,
sort_sparsity0p5_s1,sort,test_accuracies,0.95,0.9,101,100000,
sort_sparsity0p5_s2,sort,test_accuracies,0.8774305555555556,0.8628472222222222,101,100000,
sort_sparsity0p5_s3,sort,test_accuracies,0.8989583333333333,0.8434027777777777,101,100000,
sort_sparsity0p5_s4,sort,test_accuracies,0.8986111111111111,0.8986111111111111,101,100000,
sort_swp_r0p1_s0,sort,test_accuracies,0.7854166666666667,0.7517361111111112,101,100000,
sort_swp_r0p1_s1,sort,test_accuracies,0.7090277777777778,0.6260416666666667,101,100000,
sort_swp_r0p1_s2,sort,test_accuracies,0.825,0.7430555555555556,101,100000,
sort_swp_r0p25_s0,sort,test_accuracies,0.8166666666666667,0.7510416666666667,101,100000,
sort_swp_r0p25_s1,sort,test_accuracies,0.9263888888888889,0.8958333333333334,101,100000,
sort_swp_r0p25_s2,sort,test_accuracies,0.853125,0.790625,101,100000,
sort_swp_r0p5_s0,sort,test_accuracies,0.8861111111111111,0.8493055555555555,101,100000,
sort_swp_r0p5_s1,sort,test_accuracies,0.95,0.9,101,100000,
sort_swp_r0p5_s2,sort,test_accuracies,0.8774305555555556,0.8628472222222222,101,100000,
sort_swp_r0p75_s0,sort,test_accuracies,0.8840277777777777,0.8625,101,100000,
sort_swp_r0p75_s1,sort,test_accuracies,0.9305555555555556,0.8868055555555555,101,100000,
sort_swp_r0p75_s2,sort,test_accuracies,0.9038194444444444,0.8340277777777778,101,100000,
sort_swp_r0p9_s0,sort,test_accuracies,0.8833333333333333,0.8513888888888889,101,100000,
sort_swp_r0p9_s1,sort,test_accuracies,0.9451388888888889,0.9208333333333333,101,100000,
sort_swp_r0p9_s2,sort,test_accuracies,0.8746527777777777,0.8159722222222222,101,100000,
