name,task,metric,best_acc,last_acc,n_points,final_iter,state,ckpt,baseline,error
cifar10_full_stack_s0,cifar10,test_accuracies_most_certain,0.8375,0.8332,101,200000,done,checkpoint.pt,0.6443,
cifar10_full_stack_s1,cifar10,test_accuracies_most_certain,0.845,0.8428,101,200000,done,checkpoint.pt,0.6443,
cifar10_full_stack_s2,cifar10,test_accuracies_most_certain,0.8469,0.8465,101,200000,done,checkpoint.pt,0.6443,
cifar10_full_stack_s3,cifar10,test_accuracies_most_certain,0.8268,0.826,101,200000,done,checkpoint.pt,0.6443,
cifar10_full_stack_s4,cifar10,test_accuracies_most_certain,0.8425,0.8411,101,200000,done,checkpoint.pt,0.6443,
cifar10_jepa0p1+spar0p5_s0,cifar10,test_accuracies_most_certain,0.6306,0.6306,2,2000,done,checkpoint.pt,0.6443,
cifar10_jepa0p1+spar0p5_s1,cifar10,test_accuracies_most_certain,0.6101,0.6101,2,2000,done,checkpoint.pt,0.6443,
cifar10_jepa0p1+spar0p5_s2,cifar10,test_accuracies_most_certain,0.5851,0.5851,2,2000,done,checkpoint.pt,0.6443,
cifar10_jepa0p1+spar0p5_s4,cifar10,test_accuracies_most_certain,0.6146,0.6146,2,2000,done,checkpoint.pt,0.6443,
cifar10_jepa_spar_s0,cifar10,test_accuracies_most_certain,0.8352,0.8305,101,200000,done,checkpoint.pt,0.6443,
cifar10_jepa_spar_s1,cifar10,test_accuracies_most_certain,0.8504,0.8474,101,200000,done,checkpoint.pt,0.6443,
cifar10_jepa_spar_s2,cifar10,test_accuracies_most_certain,0.8446,0.8422,101,200000,done,checkpoint.pt,0.6443,
cifar10_jepa_spar_s3,cifar10,test_accuracies_most_certain,0.8509,0.849,101,200000,done,checkpoint.pt,0.6443,
cifar10_jepa_spar_s4,cifar10,test_accuracies_most_certain,0.8356,0.8352,101,200000,done,checkpoint.pt,0.6443,
cifar10_revise+jepa0p1+spar0p5_s0,cifar10,test_accuracies_most_certain,0.624,0.624,2,2000,done,checkpoint.pt,0.6443,
cifar10_revise+jepa0p1+spar0p5_s1,cifar10,test_accuracies_most_certain,0.5736,0.5736,2,2000,done,checkpoint.pt,0.6443,
