name,task,ckpt,best_acc,baseline,delta,combo
cifar10_full_stack_s0,cifar10,checkpoint.pt,0.8384,0.6443,0.19410000000000005,
cifar10_full_stack_s1,cifar10,checkpoint.pt,0.8434,0.6443,0.19910000000000005,
cifar10_full_stack_s2,cifar10,checkpoint.pt,0.847,0.6443,0.2027,
cifar10_full_stack_s3,cifar10,checkpoint.pt,0.8268,0.6443,0.1825,
cifar10_full_stack_s4,cifar10,checkpoint.pt,0.8368,0.6443,0.1925,
cifar10_jepa0p1+spar0p5_s0,cifar10,checkpoint.pt,0.6306,0.6443,-0.013699999999999934,jepa+spar
cifar10_jepa0p1+spar0p5_s1,cifar10,checkpoint.pt,0.6101,0.6443,-0.03420000000000001,jepa+spar
cifar10_jepa0p1+spar0p5_s2,cifar10,checkpoint.pt,0.5851,0.6443,-0.05920000000000003,jepa+spar
cifar10_jepa0p1+spar0p5_s4,cifar10,checkpoint.pt,0.6146,0.6443,-0.02969999999999995,jepa+spar
cifar10_jepa_spar_s0,cifar10,checkpoint.pt,0.8476,0.6443,0.20330000000000004,jepa+spar
cifar10_jepa_spar_s1,cifar10,checkpoint.pt,0.8448,0.6443,0.2005,jepa+spar
cifar10_jepa_spar_s2,cifar10,checkpoint.pt,0.8433,0.6443,0.19900000000000007,jepa+spar
cifar10_jepa_spar_s4,cifar10,checkpoint.pt,0.8411,0.6443,0.19679999999999997,jepa+spar
cifar10_revise+jepa0p1+spar0p5_s0,cifar10,checkpoint.pt,0.624,0.6443,-0.020299999999999985,revise+jepa+spar
cifar10_revise+jepa0p1+spar0p5_s1,cifar10,checkpoint.pt,0.5736,0.6443,-0.07069999999999999,revise+jepa+spar
cifar10_revise+jepa0p1+spar0p5_s3,cifar10,checkpoint.pt,0.5766,0.6443,-0.06769999999999998,revise+jepa+spar
cifar10_revise+jepa0p1+spar0p5_s4,cifar10,checkpoint.pt,0.6177,0.6443,-0.026599999999999957,revise+jepa+spar
cifar10_revise+jepa0p1_s0,cifar10,checkpoint.pt,0.6272,0.6443,-0.017100000000000004,revise+jepa
cifar10_revise+jepa0p1_s1,cifar10,checkpoint.pt,0.5869,0.6443,-0.05740000000000001,revise+jepa
cifar10_revise+jepa0p1_s2,cifar10,checkpoint.pt,0.6036,0.6443,-0.04069999999999996,revise+jepa
cifar10_revise+jepa0p1_s3,cifar10,checkpoint.pt,0.608,0.6443,-0.0363,revise+jepa
cifar10_revise+jepa0p1_s4,cifar10,checkpoint.pt,0.6107,0.6443,-0.03359999999999996,revise+jepa
cifar10_revise_jepa_s0,cifar10,checkpoint.pt,0.8428,0.6443,0.1985,revise+jepa
cifar10_revise_jepa_s1,cifar10,checkpoint.pt,0.8366,0.6443,0.19230000000000003,revise+jepa
cifar10_revise_jepa_s2,cifar10,checkpoint.pt,0.8536,0.6443,0.20930000000000004,revise+jepa
cifar10_revise_jepa_s3,cifar10,checkpoint.pt,0.8451,0.6443,0.20079999999999998,revise+jepa
cifar10_revise_jepa_s4,cifar10,checkpoint.pt,0.8361,0.6443,0.19179999999999997,revise+jepa
mazes_revise_jepa_s0,mazes,checkpoint.pt,0.89634,0.9117,-0.01535999999999993,revise+jepa
mazes_revise_jepa_s1,mazes,checkpoint.pt,0.90603,0.9117,-0.005669999999999953,revise+jepa
mazes_revise_jepa_s2,mazes,checkpoint.pt,0.90338,0.9117,-0.008319999999999994,revise+jepa
mazes_revise_jepa_s3,mazes,checkpoint.pt,0.88165,0.9117,-0.03004999999999991,revise+jepa
mazes_revise_jepa_s4,mazes,checkpoint.pt,0.89033,0.9117,-0.02137,revise+jepa
mazes_revise_spar_s0,mazes,checkpoint.pt,0.91784,0.9117,0.006140000000000034,revise+spar
mazes_revise_spar_s1,mazes,checkpoint.pt,0.90484,0.9117,-0.006859999999999977,revise+spar
mazes_revise_spar_s2,mazes,checkpoint.pt,0.90354,0.9117,-0.008159999999999945,revise+spar
mazes_revise_spar_s3,mazes,checkpoint.pt,0.90378,0.9117,-0.007919999999999927,revise+spar
mazes_revise_spar_s4,mazes,checkpoint.pt,0.89958,0.9117,-0.012119999999999909,revise+spar
sort_full_stack_s0,sort,checkpoint.pt,0.5416666666666666,0.8753,-0.33363333333333334,
sort_full_stack_s1,sort,checkpoint.pt,0.5625,0.8753,-0.31279999999999997,
sort_full_stack_s2,sort,checkpoint.pt,0.6458333333333334,0.8753,-0.2294666666666666,
sort_full_stack_s3,sort,checkpoint.pt,0.71875,0.8753,-0.15654999999999997,
sort_full_stack_s4,sort,checkpoint.pt,0.625,0.8753,-0.25029999999999997,
sort_jepa_spar_s0,sort,checkpoint.pt,0.5416666666666666,0.8753,-0.33363333333333334,jepa+spar
sort_jepa_spar_s1,sort,checkpoint.pt,0.5625,0.8753,-0.31279999999999997,jepa+spar
sort_jepa_spar_s2,sort,checkpoint.pt,0.6458333333333334,0.8753,-0.2294666666666666,jepa+spar
sort_jepa_spar_s3,sort,checkpoint.pt,0.71875,0.8753,-0.15654999999999997,jepa+spar
sort_jepa_spar_s4,sort,checkpoint.pt,0.625,0.8753,-0.25029999999999997,jepa+spar
sort_revise_spar_s0,sort,checkpoint.pt,0.6458333333333334,0.8753,-0.2294666666666666,revise+spar
sort_revise_spar_s1,sort,checkpoint.pt,0.8229166666666666,0.8753,-0.05238333333333334,revise+spar
sort_revise_spar_s2,sort,checkpoint.pt,0.75,0.8753,-0.12529999999999997,revise+spar
sort_revise_spar_s3,sort,checkpoint.pt,0.6666666666666666,0.8753,-0.20863333333333334,revise+spar
sort_revise_spar_s4,sort,checkpoint.pt,0.7083333333333334,0.8753,-0.1669666666666666,revise+spar
