env,backbone,seed,success_rate,expert_success,n_episodes,n_steps,elapsed_s
acrobot-partial,mlp,0,0.0,100.0,80,8267,123.1
acrobot-partial,ctm,0,100.0,100.0,80,8267,170.2
acrobot-partial,lstm,0,83.33333333333333,100.0,80,8267,140.1
acrobot-partial,flash,0,-1.0,100.0,80,8267,0
acrobot-partial,flash-shallow,0,-1.0,100.0,80,8267,0
acrobot-partial,flash-deep,0,-1.0,100.0,80,8267,0
acrobot-partial,cem-wm,0,0.0,0,80,8267,63.4
acrobot-partial,mlp,1,0.0,100.0,80,8047,129.7
acrobot-partial,ctm,1,100.0,100.0,80,8047,178.6
acrobot-partial,lstm,1,50.0,100.0,80,8047,139.6
acrobot-partial,flash,1,-1.0,100.0,80,8047,0
acrobot-partial,flash-shallow,1,-1.0,100.0,80,8047,0
acrobot-partial,flash-deep,1,-1.0,100.0,80,8047,0
acrobot-partial,cem-wm,1,0.0,0,80,8047,60.1
acrobot,mlp,0,100.0,100.0,80,8267,123.6
acrobot,ctm,0,100.0,100.0,80,8267,176.1
acrobot,lstm,0,100.0,100.0,80,8267,140.6
acrobot,flash,0,-1.0,100.0,80,8267,0
acrobot,flash-shallow,0,-1.0,100.0,80,8267,0
acrobot,flash-deep,0,-1.0,100.0,80,8267,0
acrobot,cem-wm,0,0.0,0,80,8267,61.5
acrobot,mlp,1,100.0,100.0,80,8047,128.2
acrobot,ctm,1,100.0,100.0,80,8047,179.0
acrobot,lstm,1,100.0,100.0,80,8047,140.1
acrobot,flash,1,-1.0,100.0,80,8047,0
acrobot,flash-shallow,1,-1.0,100.0,80,8047,0
acrobot,flash-deep,1,-1.0,100.0,80,8047,0
acrobot,cem-wm,1,0.0,0,80,8047,61.5
reacher-partial,mlp,0,66.66666666666667,100.0,80,899,7.8
reacher-partial,ctm,0,50.0,100.0,80,899,11.2
reacher-partial,lstm,0,58.333333333333336,100.0,80,899,8.3
reacher-partial,flash,0,-1.0,100.0,80,899,0
reacher-partial,flash-shallow,0,-1.0,100.0,80,899,0
reacher-partial,flash-deep,0,-1.0,100.0,80,899,0
reacher-partial,cem-wm,0,75.0,0,80,899,5.3
reacher-partial,mlp,1,66.66666666666667,100.0,80,955,8.3
reacher-partial,ctm,1,66.66666666666667,100.0,80,955,10.1
reacher-partial,lstm,1,66.66666666666667,100.0,80,955,8.9
reacher-partial,flash,1,-1.0,100.0,80,955,0
reacher-partial,flash-shallow,1,-1.0,100.0,80,955,0
reacher-partial,flash-deep,1,-1.0,100.0,80,955,0
reacher-partial,cem-wm,1,75.0,0,80,955,4.5
pendulum-partial,mlp,0,25.0,75.0,80,3781,28.1
pendulum-partial,ctm,0,50.0,75.0,80,3781,38.9
pendulum-partial,lstm,0,50.0,75.0,80,3781,31.2
pendulum-partial,flash,0,-1.0,75.0,80,3781,0
pendulum-partial,flash-shallow,0,-1.0,75.0,80,3781,0
pendulum-partial,flash-deep,0,-1.0,75.0,80,3781,0
pendulum-partial,cem-wm,0,8.333333333333332,0,80,3781,28.2
pendulum-partial,mlp,1,16.666666666666668,75.0,80,3745,27.8
pendulum-partial,ctm,1,33.333333333333336,75.0,80,3745,37.1
pendulum-partial,lstm,1,50.0,75.0,80,3745,30.0
pendulum-partial,flash,1,-1.0,75.0,80,3745,0
pendulum-partial,flash-shallow,1,-1.0,75.0,80,3745,0
pendulum-partial,flash-deep,1,-1.0,75.0,80,3745,0
pendulum-partial,cem-wm,1,16.666666666666664,0,80,3745,27.0
