stage,exp,task,sweep,seed,status,ckpt,n_points,final_iter,final_test_acc,best_test_acc,final_train_acc,best_train_acc,final_test_acc_mc,best_test_acc_mc,final_test_loss,d_model,heads,memory_hidden_dims,synapse_depth,n_ticks,length,neuron_select_type,batch_size,learning_rate,jepa_weight,jepa_loss_type,jepa_predict_delta,cross_tick_jepa_weight,sparsity,halt_threshold,halt_confidence_weight,halt_mode,loss_type,loss_aggregation,reflex_weight
hr00,cifar10_baseline,cifar10,baseline,,ok,checkpoint.pt,101,200000,0.47436400000000006,0.6027920000000001,0.44512890624999996,0.5428726562499999,0.8178,0.8186,0.3600597307085991,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
hr00,parity_baseline,parity,baseline,,ok,checkpoint_190000.pt,191,190000,0.6795359390500992,0.6795359390500992,0.6790843176463294,0.6795103624131944,0.8801618303571429,0.8819638206845238,0.16442931904679253,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
hr00,sort_baseline,sort,baseline,,ok,checkpoint.pt,101,100000,0.8392361111111111,0.9142361111111111,0.8760416666666667,0.9048611111111111,,,0.057956178983052574,512,4,4,4,,,random-pairing,32,,,,,0.0,,,,,softmax_ce,,0.1
hr01,cifar10_bp1,cifar10,bp1,,ok,checkpoint.pt,101,200000,0.7287980000000001,0.7378939999999998,0.7931648437499998,0.7959796874999999,0.8002,0.8012,0.631448881328106,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
hr01,cifar10_bp10,cifar10,bp10,,ok,checkpoint.pt,101,200000,0.782508,0.789756,0.85338671875,0.8544890624999999,0.825,0.8278,0.5872783735394478,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
hr01,cifar10_bp2,cifar10,bp2,,ok,checkpoint.pt,101,200000,0.770508,0.7757219999999999,0.83905859375,0.8427820312500001,0.8134,0.8186,0.5960674449801445,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
hr01,cifar10_bp5,cifar10,bp5,,ok,checkpoint.pt,101,200000,0.8153239999999999,0.8158920000000001,0.8994742187499999,0.89955078125,0.8309,0.8314,0.583672571182251,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
hr01,parity_bp1,parity,bp1,,ok,checkpoint_200000.pt,201,200000,0.6034295557415674,0.610562027219742,0.6040328931051587,0.6113371155753968,0.6186639694940477,0.6368931361607143,0.640651211852119,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
hr01,parity_bp10,parity,bp10,,ok,checkpoint_200000.pt,201,200000,0.5252509223090277,0.5283746047247025,0.5249913581969246,0.5284031265500992,0.5334879557291666,0.5372779482886905,0.6568741770017714,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
hr01,parity_bp2,parity,bp2,,ok,checkpoint_200000.pt,201,200000,0.5303115311879961,0.5489167131696429,0.5307313368055556,0.5481290302579366,0.5341738746279762,0.5533301943824405,0.650096751394726,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
hr01,parity_bp5,parity,bp5,,ok,checkpoint_200000.pt,201,200000,0.5321350291418651,0.5325224376860118,0.5318223353794643,0.5324951171875,0.5401436941964286,0.5401436941964286,0.6502165340241932,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
hr01,sort_bp1,sort,bp1,,ok,checkpoint.pt,101,100000,0.0,0.003125,0.0,0.003472222222222222,,,56.31951777140299,512,4,4,4,,,random-pairing,32,,,,,0.0,,,,,softmax_ce,,0.1
hr01,sort_bp10,sort,bp10,,ok,checkpoint.pt,101,100000,0.0,0.003125,0.00034722222222222224,0.003472222222222222,,,18.476430892944336,512,4,4,4,,,random-pairing,32,,,,,0.0,,,,,softmax_ce,,0.1
hr01,sort_bp2,sort,bp2,,ok,checkpoint.pt,101,100000,0.0,0.003125,0.0,0.003472222222222222,,,34.918600718180336,512,4,4,4,,,random-pairing,32,,,,,0.0,,,,,softmax_ce,,0.1
hr01,sort_bp5,sort,bp5,,ok,checkpoint.pt,101,100000,0.0,0.00625,0.0,0.004861111111111111,,,74.92919413248698,512,4,4,4,,,random-pairing,32,,,,,0.0,,,,,softmax_ce,,0.1
hr02,cifar10_warmup0p1,cifar10,warmup0p1,,ok,checkpoint.pt,101,200000,0.802492,0.804158,0.8605859374999999,0.8646921875,0.8298,0.8317,0.5495675817131996,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
hr02,cifar10_warmup0p2,cifar10,warmup0p2,,ok,checkpoint.pt,101,200000,0.8017780000000001,0.8047179999999997,0.8709656249999999,0.8728984375000002,0.8362,0.8371,0.5576449051499367,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
hr02,cifar10_warmup0p5,cifar10,warmup0p5,,ok,checkpoint.pt,101,200000,0.790692,0.7955520000000001,0.84627421875,0.8473601562499999,0.8241,0.8257,0.5479113101959229,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
hr02,parity_warmup0p1,parity,warmup0p1,,ok,checkpoint_200000.pt,201,200000,0.5352277483258928,0.5398804098462302,0.534854716951885,0.5406244962177579,0.52801513671875,0.5466424851190477,0.7942116175379071,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
hr02,parity_warmup0p2,parity,warmup0p2,,ok,checkpoint_200000.pt,201,200000,0.5181395321800596,0.5517986576140873,0.5180145166790675,0.5513549029637896,0.5132678803943452,0.5586983816964286,0.784024471328372,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
hr02,parity_warmup0p5,parity,warmup0p5,,ok,checkpoint_200000.pt,201,200000,0.5266552346850198,0.5489167131696429,0.5270397367931547,0.5481290302579366,0.5434977213541666,0.5533301943824405,0.6413707222257342,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
hr02,sort_warmup0p1,sort,warmup0p1,,ok,checkpoint.pt,101,100000,0.0,0.003125,0.00034722222222222224,0.003472222222222222,,,26.506656010945637,512,4,4,4,,,random-pairing,32,,,,,0.0,,,,,softmax_ce,,0.1
hr02,sort_warmup0p2,sort,warmup0p2,,ok,checkpoint.pt,101,100000,0.0006944444444444445,0.003125,0.0,0.003472222222222222,,,5.026093324025472,512,4,4,4,,,random-pairing,32,,,,,0.0,,,,,softmax_ce,,0.1
hr02,sort_warmup0p5,sort,warmup0p5,,ok,checkpoint.pt,101,100000,0.0,0.003125,0.0,0.003472222222222222,,,124.5239766438802,512,4,4,4,,,random-pairing,32,,,,,0.0,,,,,softmax_ce,,0.1
hr03,cifar10_detach1,cifar10,detach1,,ok,checkpoint.pt,101,200000,0.627224,0.6934180000000002,0.6385195312499999,0.7009460937499999,0.8206,0.8216,0.6173562318086624,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
hr03,cifar10_detach10,cifar10,detach10,,ok,checkpoint.pt,101,200000,0.6610719999999998,0.7080200000000001,0.663225,0.6982398437499998,0.8404,0.8419,0.4999146223068237,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
hr03,cifar10_detach2,cifar10,detach2,,ok,checkpoint.pt,101,200000,0.617986,0.6957039999999998,0.6054046875,0.6853781250000001,0.8338,0.8347,0.5731833547353744,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
hr03,cifar10_detach5,cifar10,detach5,,ok,checkpoint.pt,101,200000,0.605252,0.712128,0.6251625,0.6975765625,0.8373,0.8398,0.545011180639267,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
hr03,parity_detach1,parity,detach1,,ok,checkpoint_180000.pt,181,180000,0.6584316871279762,0.6620738777281745,0.6573713805183531,0.6619385540674604,0.7699119931175595,0.7732107979910714,0.3261657896496001,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
hr03,parity_detach10,parity,detach10,,ok,checkpoint_200000.pt,201,200000,0.6827699110243056,0.7119869559151785,0.6814229523189483,0.7120975167410715,0.9974452427455357,0.9996861049107143,0.004024523787111754,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
hr03,parity_detach2,parity,detach2,,ok,checkpoint_130000.pt,131,130000,0.6274031187996031,0.6274031187996031,0.627691165984623,0.627691165984623,0.7656947544642857,0.7656947544642857,0.340250544604801,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
hr03,parity_detach5,parity,detach5,,ok,checkpoint_60000.pt,61,60000,0.6130498589409723,0.6152144562251984,0.6131751457093254,0.6155412558903769,0.7358369373139881,0.7358369373139881,0.37585966501917156,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
