experiment,final_test_accuracy,checkpoints_recorded
cifar10_ff,0.8427,101
sort_async_multitick_s1,0.0,101
sort_d_model2x,0.6770833333333334,101
sort_d_model2x_s1,0.7916666666666666,101
sort_d_model2x_s2,0.6041666666666666,101
sort_d_modeld2,0.5208333333333334,101
sort_d_modeld2_s1,0.3229166666666667,101
sort_d_modeld2_s2,0.4479166666666667,101
sort_d_modeld4,0.2916666666666667,101
sort_d_modeld4_s1,0.19791666666666666,101
sort_d_modeld4_s2,0.14583333333333334,101
sort_ema,0.0,101
sort_ema_s1,0.0,101
sort_ema_s2,0.0,101
sort_halt0.3,0.0,101
sort_halt0.3_s1,0.0,101
sort_halt0.3_s2,0.0,101
sort_halt0.6,0.0,101
sort_halt0.6_s1,0.0,101
sort_halt0.6_s2,0.0,101
sort_halt0.9,0.0,101
sort_halt0.9_s1,0.0,101
sort_halt0.9_s2,0.0,101
sort_halt_multitick_s1,0.0,101
sort_halt_multitick_s2,0.0,101
sort_halt_sparsity_s1,0.0,101
sort_halt_sparsity_s2,0.0,101
sort_headsh16,0.5833333333333334,101
sort_headsh16_s1,0.71875,101
sort_headsh16_s2,0.6875,101
sort_headsh2,0.5833333333333334,101
sort_headsh2_s1,0.71875,101
sort_headsh2_s2,0.6875,101
sort_headsh8,0.5833333333333334,101
sort_headsh8_s1,0.71875,101
sort_headsh8_s2,0.6875,101
sort_jepa_async_s2,0.0,101
sort_jepa_halt,0.0,101
sort_jepa_halt_s1,0.0,101
sort_jepa_halt_s2,0.0,101
sort_jepa_halt_sparsity,0.0,101
sort_jepa_mse,0.0,101
sort_jepa_mse_s1,0.0,101
sort_jepa_mse_s2,0.0,101
sort_jepa_pd1,0.0,101
sort_jepa_pd1_s1,0.0,101
sort_jepa_pd1_s2,0.0,101
sort_jepa_pd4,0.0,101
sort_jepa_pd4_s1,0.0,101
sort_jepa_pd4_s2,0.0,101
sort_jepa_reflex,0.0,101
sort_jepa_reflex_s1,0.0,101
sort_jepa_sd2_mh2,0.0,101
sort_jepa_sd2_mh2_s1,0.0,101
sort_jepa_sd2_mh2_s2,0.0,101
sort_jepa_sparsity,0.0,101
sort_jepa_sparsity_s1,0.0,101
sort_jepa_sparsity_s2,0.0,101
sort_jepa_tick2,0.0,101
sort_jepa_tick2_s1,0.0,101
sort_jepa_tick2_s2,0.0,101
sort_jepa_tick2_sd2_mh2,0.0,101
sort_jepa_tick2_sd2_mh2_s1,0.0,101
sort_jepa_tick2_sd2_mh2_s2,0.0,101
sort_jepa_w0.1,0.0,101
sort_jepa_w0.1_s1,0.0,101
sort_jepa_w0.1_s2,0.0,101
sort_jepa_w0.5,0.0,101
sort_jepa_w0.5_s1,0.0,101
sort_jepa_w0.5_s2,0.0,101
sort_jepa_w1.0,0.0,101
sort_jepa_w1.0_s1,0.0,101
sort_jepa_w1.0_s2,0.0,101
sort_memory_hidden_dimsmh1,0.5833333333333334,101
sort_memory_hidden_dimsmh1_s1,0.16666666666666666,101
sort_memory_hidden_dimsmh1_s2,0.19791666666666666,101
sort_memory_hidden_dimsmh2,0.65625,101
sort_memory_hidden_dimsmh2_s1,0.5729166666666666,101
sort_memory_hidden_dimsmh2_s2,0.625,101
sort_memory_hidden_dimsmh32,0.4791666666666667,101
sort_memory_hidden_dimsmh32_s1,0.6145833333333334,101
sort_memory_hidden_dimsmh32_s2,0.6458333333333334,101
sort_nst_first-last,0.6875,101
sort_nst_first-last_s1,0.6458333333333334,101
sort_nst_first-last_s2,0.6770833333333334,101
sort_nst_random,0.7083333333333334,101
sort_nst_random-pairing,0.5833333333333334,101
sort_nst_random-pairing_s1,0.71875,101
sort_nst_random-pairing_s2,0.6875,101
sort_nst_random_s1,0.625,101
sort_nst_random_s2,0.6666666666666666,101
sort_paper_s0,0.5833333333333334,101
sort_reflex,0.0,101
sort_reflex_halt,0.0,101
sort_reflex_s1,0.0,101
sort_reflex_s2,0.0,101
sort_revise,0.5833333333333334,101
sort_revise_s1,0.71875,101
sort_revise_s2,0.6875,101
sort_sd1_mh2,0.0,101
sort_sd1_mh2_s1,0.0,101
sort_sd1_mh2_s2,0.0,101
sort_sd2_mh2,0.0,101
sort_sd2_mh2_s1,0.0,101
sort_sd2_mh2_s2,0.0,101
sort_sparsity0.25,0.5833333333333334,101
sort_sparsity0.25_s1,0.71875,101
sort_sparsity0.25_s2,0.6875,101
sort_sparsity0.5,0.5833333333333334,101
sort_sparsity0.5_s1,0.71875,101
sort_sparsity0.5_s2,0.6875,101
sort_sparsity0.75,0.5833333333333334,101
sort_sparsity0.75_s1,0.71875,101
sort_sparsity0.75_s2,0.6875,101
sort_sparsity_async_s1,0.0,101
sort_sparsity_async_s2,0.0,101
sort_sparsity_multitick,0.0,101
sort_synapse_depthsd1,0.5416666666666666,101
sort_synapse_depthsd1_s1,0.65625,101
sort_synapse_depthsd1_s2,0.6145833333333334,101
sort_synapse_depthsd2,0.65625,101
sort_synapse_depthsd2_s1,0.4583333333333333,101
sort_synapse_depthsd2_s2,0.6041666666666666,101
sort_synapse_depthsd8,0.5625,101
sort_synapse_depthsd8_s1,0.4791666666666667,101
sort_synapse_depthsd8_s2,0.3958333333333333,101
sort_tick1,0.0,101
sort_tick10,0.0,101
sort_tick10_s1,0.0,101
sort_tick10_s2,0.0,101
sort_tick1_s1,0.0,101
sort_tick1_s2,0.0,101
sort_tick2,0.0,101
sort_tick25,0.0,101
sort_tick25_s1,0.0,101
sort_tick25_s2,0.0,101
sort_tick2_s1,0.0,101
sort_tick2_s2,0.0,101
sort_tick5,0.0,101
