experiment_name,model_type,modality_pair,dataset,loss,contrastive_loss,tokens_per_sec,peak_memory_mb,temperature,pool_mode,hidden_size,num_hidden_layers,d_model,d_input,iterations,memory_length,memory_hidden_dims,synapse_depth,image_size,patch_size,embed_dim,batch_size,accumulation_steps,freeze_modality,loss_per_gb,global_step,metrics_file
dr00_anchor_async_anytime_d512,ctm,,,9.283495759963989,,275.8803802523383,52189.99951171875,,,768,16,512,256,16,8,2,2,,,,4,1,,0.18214791621273302,1000,runs/metrics/dr00_anchor_async_anytime_d512.csv
dr00_anchor_regional_d1024_tick4,ctm,,,5.567193651199341,,1316.6180040558554,42774.96728515625,,,768,16,1024,256,4,8,2,2,,,,7,1,,0.13327435789311326,1000,runs/metrics/dr00_anchor_regional_d1024_tick4.csv
dr00_anchor_regional_d512_tick4,ctm,,,5.4011119365692135,,2353.378003166087,33570.8974609375,,,768,16,512,256,4,8,2,2,,,,10,1,,0.16474801215792173,1000,runs/metrics/dr00_anchor_regional_d512_tick4.csv
dr00_anchor_regional_d512_tick4,ctm,,,5.4011119365692135,,2353.378003166087,33570.8974609375,,,768,16,512,256,4,8,2,2,,,,,,,0.16474801215792173,1000,runs/metrics/draft_revise_dr00_summary.csv
dr01_current_elf_linear_h4_d512,ctm,,,5.395446157455444,,2385.771170310017,34315.41552734375,,,768,16,512,256,4,8,2,2,,,,10,1,,0.16100451591011355,1000,runs/metrics/dr01_current_elf_linear_h4_d512.csv
dr01_current_elf_linear_h8_tick8_d512,ctm,,,5.5769524574279785,,874.1287661992308,38265.22021484375,,,768,16,512,256,8,8,2,2,,,,6,1,,0.1492425571927306,1000,runs/metrics/dr01_current_elf_linear_h8_tick8_d512.csv
dr01_current_mtp124_d512,ctm,,,5.413269805908203,,2414.607269984781,35809.1845703125,,,768,16,512,256,4,8,2,2,,,,,,,0.15479794772667244,1000,runs/metrics/draft_revise_dr01_summary.csv
dr01_current_mtp124_d512,ctm,,,5.413269805908203,,2414.607269984781,35809.1845703125,,,768,16,512,256,4,8,2,2,,,,10,1,,0.15479794772667244,1000,runs/metrics/dr01_current_mtp124_d512.csv
dr02_parallel_b2_shared_d512,ctm,,,4.911568450927734,,845.9540732259462,40707.6201171875,,,768,16,512,256,8,8,2,2,,,,6,1,,0.12355048217683637,1000,runs/metrics/dr02_parallel_b2_shared_d512.csv
dr02_parallel_b2_slot_adapter_d512,ctm,,,4.366717338562012,,760.647942698755,41021.37060546875,,,768,16,512,256,8,8,2,2,,,,6,1,,0.10900461122309212,1000,runs/metrics/dr02_parallel_b2_slot_adapter_d512.csv
dr02_parallel_b4_shared_d512,ctm,,,4.936179113388062,,801.4135714518654,44156.3857421875,,,768,16,512,256,8,8,2,2,,,,6,1,,0.11447149324271141,1000,runs/metrics/dr02_parallel_b4_shared_d512.csv
dr02_parallel_b4_slot_adapter_d512,ctm,,,4.358278143405914,,711.8236717448189,44766.7177734375,,,768,16,512,256,8,8,2,2,,,,,,,0.09969184789097317,1000,runs/metrics/draft_revise_dr02_summary.csv
dr02_parallel_b4_slot_adapter_d512,ctm,,,4.358278143405914,,711.8236717448189,44766.7177734375,,,768,16,512,256,8,8,2,2,,,,6,1,,0.09969184789097317,1000,runs/metrics/dr02_parallel_b4_slot_adapter_d512.csv
dr03_revise_b4_corrupt0p15,ctm,,,4.615601134300232,,690.7717042804472,47452.0263671875,,,768,16,512,256,8,8,2,2,,,,6,1,,0.09960323980582775,1000,runs/metrics/dr03_revise_b4_corrupt0p15.csv
dr03_revise_b4_corrupt0p3,ctm,,,4.652292251586914,,688.3426778283252,47452.0263671875,,,768,16,512,256,8,8,2,2,,,,,,,0.10039502272803279,1000,runs/metrics/draft_revise_dr03_summary.csv
dr03_revise_b4_corrupt0p3,ctm,,,4.652292251586914,,688.3426778283252,47452.0263671875,,,768,16,512,256,8,8,2,2,,,,6,1,,0.10039502272803279,1000,runs/metrics/dr03_revise_b4_corrupt0p3.csv
dr04_commit_b4_th0p5,ctm,,,4.725402140617371,,694.1167013281243,49501.68017578125,,,768,16,512,256,8,8,2,2,,,,6,1,,0.09775045563725293,1000,runs/metrics/dr04_commit_b4_th0p5.csv
