env,backbone,seed,success_rate,expert_success,n_episodes,n_steps,elapsed_s
point-state,mlp,0,100.0,100.0,200,512,14.4
point-state,ctm,0,100.0,100.0,200,512,21.4
point-state,lstm,0,100.0,100.0,200,512,15.3
point-state,gru,0,100.0,100.0,200,512,14.7
point-state,transformer,0,100.0,100.0,200,512,32.1
point-state,flash,0,100.0,100.0,200,512,26.6
point-state,flash-shallow,0,100.0,100.0,200,512,15.6
point-state,flash-deep,0,100.0,100.0,200,512,22.8
point-state,mlp,1,100.0,100.0,200,510,11.2
point-state,ctm,1,100.0,100.0,200,510,21.5
point-state,lstm,1,100.0,100.0,200,510,15.5
point-state,gru,1,100.0,100.0,200,510,15.0
point-state,transformer,1,100.0,100.0,200,510,32.1
point-state,flash,1,100.0,100.0,200,510,26.8
point-state,flash-shallow,1,100.0,100.0,200,510,15.6
point-state,flash-deep,1,100.0,100.0,200,510,22.6
point-state,mlp,2,100.0,100.0,200,512,11.0
point-state,ctm,2,100.0,100.0,200,512,19.8
point-state,lstm,2,100.0,100.0,200,512,15.2
point-state,gru,2,100.0,100.0,200,512,14.7
point-state,transformer,2,100.0,100.0,200,512,31.8
point-state,flash,2,100.0,100.0,200,512,26.5
point-state,flash-shallow,2,100.0,100.0,200,512,15.3
point-state,flash-deep,2,100.0,100.0,200,512,21.0
point-state,mlp,3,100.0,100.0,200,517,11.2
point-state,ctm,3,100.0,100.0,200,517,21.4
point-state,lstm,3,100.0,100.0,200,517,14.8
point-state,gru,3,100.0,100.0,200,517,14.9
point-state,transformer,3,100.0,100.0,200,517,32.0
point-state,flash,3,100.0,100.0,200,517,25.7
point-state,flash-shallow,3,87.5,100.0,200,517,15.7
point-state,flash-deep,3,100.0,100.0,200,517,23.1
point-state,mlp,4,100.0,100.0,200,513,11.1
point-state,ctm,4,100.0,100.0,200,513,20.9
point-state,lstm,4,100.0,100.0,200,513,15.3
point-state,gru,4,100.0,100.0,200,513,14.7
point-state,transformer,4,100.0,100.0,200,513,30.6
point-state,flash,4,100.0,100.0,200,513,26.6
point-state,flash-shallow,4,100.0,100.0,200,513,15.4
point-state,flash-deep,4,100.0,100.0,200,513,22.6
tworoom-state,mlp,0,33.333333333333336,100.0,200,1043,18.0
tworoom-state,ctm,0,79.16666666666667,100.0,200,1043,35.0
tworoom-state,lstm,0,83.33333333333333,100.0,200,1043,25.0
tworoom-state,gru,0,83.33333333333333,100.0,200,1043,24.1
tworoom-state,transformer,0,75.0,100.0,200,1043,50.6
tworoom-state,flash,0,66.66666666666667,100.0,200,1043,43.3
tworoom-state,flash-shallow,0,33.333333333333336,100.0,200,1043,26.0
tworoom-state,flash-deep,0,79.16666666666667,100.0,200,1043,36.9
tworoom-state,mlp,1,50.0,100.0,200,1049,17.1
tworoom-state,ctm,1,58.333333333333336,100.0,200,1049,36.4
tworoom-state,lstm,1,75.0,100.0,200,1049,24.9
tworoom-state,gru,1,75.0,100.0,200,1049,24.3
tworoom-state,transformer,1,62.5,100.0,200,1049,51.3
tworoom-state,flash,1,83.33333333333333,100.0,200,1049,43.7
tworoom-state,flash-shallow,1,33.333333333333336,100.0,200,1049,25.8
tworoom-state,flash-deep,1,62.5,100.0,200,1049,36.8
tworoom-state,mlp,2,29.166666666666668,100.0,200,1055,18.4
tworoom-state,ctm,2,79.16666666666667,100.0,200,1055,36.0
tworoom-state,lstm,2,62.5,100.0,200,1055,25.3
tworoom-state,gru,2,70.83333333333333,100.0,200,1055,24.4
tworoom-state,transformer,2,54.166666666666664,100.0,200,1055,52.4
tworoom-state,flash,2,79.16666666666667,100.0,200,1055,43.9
tworoom-state,flash-shallow,2,25.0,100.0,200,1055,25.3
tworoom-state,flash-deep,2,75.0,100.0,200,1055,37.4
tworoom-state,mlp,3,45.833333333333336,100.0,200,1067,18.4
tworoom-state,ctm,3,62.5,100.0,200,1067,36.6
tworoom-state,lstm,3,66.66666666666667,100.0,200,1067,25.7
tworoom-state,gru,3,75.0,100.0,200,1067,24.6
tworoom-state,transformer,3,70.83333333333333,100.0,200,1067,53.3
tworoom-state,flash,3,62.5,100.0,200,1067,45.0
tworoom-state,flash-shallow,3,29.166666666666668,100.0,200,1067,26.0
tworoom-state,flash-deep,3,70.83333333333333,100.0,200,1067,38.6
tworoom-state,mlp,4,45.833333333333336,100.0,200,1080,18.1
tworoom-state,ctm,4,70.83333333333333,100.0,200,1080,37.1
tworoom-state,lstm,4,70.83333333333333,100.0,200,1080,24.3
tworoom-state,gru,4,75.0,100.0,200,1080,24.3
tworoom-state,transformer,4,62.5,100.0,200,1080,52.0
tworoom-state,flash,4,83.33333333333333,100.0,200,1080,42.2
tworoom-state,flash-shallow,4,41.666666666666664,100.0,200,1080,25.1
tworoom-state,flash-deep,4,45.833333333333336,100.0,200,1080,37.7
reacher,mlp,0,66.66666666666667,100.0,200,2295,20.6
reacher,ctm,0,62.5,100.0,200,2295,34.0
reacher,lstm,0,79.16666666666667,100.0,200,2295,24.2
reacher,gru,0,75.0,100.0,200,2295,24.4
reacher,transformer,0,70.83333333333333,100.0,200,2295,47.4
reacher,flash,0,70.83333333333333,100.0,200,2295,41.1
reacher,flash-shallow,0,70.83333333333333,100.0,200,2295,25.2
reacher,flash-deep,0,83.33333333333333,100.0,200,2295,36.3
reacher,mlp,1,62.5,100.0,200,2500,18.4
reacher,ctm,1,83.33333333333333,100.0,200,2500,33.5
reacher,lstm,1,75.0,100.0,200,2500,24.1
