env,backbone,seed,success_rate,expert_success,n_episodes,n_steps,elapsed_s
point-state,mlp,0,100.0,100.0,200,512,25.9
point-state,ctm,0,100.0,100.0,200,512,32.0
point-state,lstm,0,100.0,100.0,200,512,26.2
point-state,gru,0,100.0,100.0,200,512,25.9
point-state,transformer,0,100.0,100.0,200,512,46.4
point-state,flash,0,100.0,100.0,200,512,41.0
point-state,flash-shallow,0,100.0,100.0,200,512,30.4
point-state,flash-deep,0,100.0,100.0,200,512,36.9
point-state,mlp,1,100.0,100.0,200,510,22.4
point-state,ctm,1,100.0,100.0,200,510,32.6
point-state,lstm,1,100.0,100.0,200,510,26.6
point-state,gru,1,100.0,100.0,200,510,25.8
point-state,transformer,1,100.0,100.0,200,510,45.3
point-state,flash,1,100.0,100.0,200,510,41.5
point-state,flash-shallow,1,100.0,100.0,200,510,30.0
point-state,flash-deep,1,100.0,100.0,200,510,36.0
point-state,mlp,2,100.0,100.0,200,512,22.0
point-state,ctm,2,100.0,100.0,200,512,32.0
point-state,lstm,2,100.0,100.0,200,512,26.5
point-state,gru,2,100.0,100.0,200,512,25.7
point-state,transformer,2,100.0,100.0,200,512,43.0
point-state,flash,2,100.0,100.0,200,512,41.6
point-state,flash-shallow,2,100.0,100.0,200,512,31.0
point-state,flash-deep,2,100.0,100.0,200,512,37.2
pendulum,mlp,0,41.666666666666664,75.0,200,9815,160.5
pendulum,ctm,0,50.0,75.0,200,9815,198.0
pendulum,lstm,0,41.666666666666664,75.0,200,9815,168.6
pendulum,gru,0,45.833333333333336,75.0,200,9815,165.2
pendulum,transformer,0,25.0,75.0,200,9815,221.8
pendulum,flash,0,45.833333333333336,75.0,200,9815,211.1
pendulum,flash-shallow,0,41.666666666666664,75.0,200,9815,165.3
pendulum,flash-deep,0,50.0,75.0,200,9815,187.4
pendulum,cem-wm,0,58.333333333333336,0,200,9815,68.7
pendulum,mlp,1,37.5,75.0,200,10019,122.4
pendulum,ctm,1,58.333333333333336,75.0,200,10019,169.2
pendulum,lstm,1,54.166666666666664,75.0,200,10019,137.4
pendulum,gru,1,54.166666666666664,75.0,200,10019,135.8
pendulum,transformer,1,54.166666666666664,75.0,200,10019,216.7
pendulum,flash,1,62.5,75.0,200,10019,219.3
pendulum,flash-shallow,1,45.833333333333336,75.0,200,10019,171.6
pendulum,flash-deep,1,54.166666666666664,75.0,200,10019,195.7
pendulum,cem-wm,1,50.0,0,200,10019,69.2
pendulum,mlp,2,62.5,75.0,200,9950,117.7
pendulum,ctm,2,54.166666666666664,75.0,200,9950,163.8
pendulum,lstm,2,58.333333333333336,75.0,200,9950,136.3
pendulum,gru,2,50.0,75.0,200,9950,138.3
pendulum,transformer,2,50.0,75.0,200,9950,216.2
pendulum,flash,2,54.166666666666664,75.0,200,9950,221.2
pendulum,flash-shallow,2,41.666666666666664,75.0,200,9950,175.4
pendulum,flash-deep,2,50.0,75.0,200,9950,196.0
pendulum,cem-wm,2,58.333333333333336,0,200,9950,71.4
pendulum-partial,mlp,0,16.666666666666668,75.0,200,9815,157.8
pendulum-partial,ctm,0,41.666666666666664,75.0,200,9815,197.4
pendulum-partial,lstm,0,45.833333333333336,75.0,200,9815,165.6
pendulum-partial,gru,0,37.5,75.0,200,9815,165.1
pendulum-partial,transformer,0,45.833333333333336,75.0,200,9815,245.8
pendulum-partial,flash,0,45.833333333333336,75.0,200,9815,270.0
pendulum-partial,flash-shallow,0,45.833333333333336,75.0,200,9815,199.7
pendulum-partial,flash-deep,0,45.833333333333336,75.0,200,9815,183.0
pendulum-partial,cem-wm,0,4.166666666666666,0,200,9815,70.2
