experiment_name,model_type,loss,tokens_per_sec,peak_memory_mb,best_tick,conf_tick,tick_count,effective_tick,active_cell_fraction,moe_aux_loss,loss_per_gb,tokens_per_gb,quality_cost_score,losses_per_tick,certainties_per_tick,hidden_size,num_hidden_layers,d_model,d_input,iterations,memory_length,memory_hidden_dims,deep_nlms,synapse_depth,tick_loss_mode,elf_horizon_mode,elf_max_horizon,tick_improve_weight,tick_improve_margin,tick_halt_mode,tick_halt_threshold,tick_halt_temperature,tick_compute_weight,cell_sparsity_mode,cell_topk,cell_sparsity_rescale,moe_routing_mode,moe_num_experts,moe_topk_experts,moe_shared_experts,moe_expert_size,moe_load_balance_weight,moe_router_entropy_weight,moe_router_z_loss_weight,moe_capacity_factor,moe_drop_tokens,moe_dispatch_mode,moe_topk_warmup_steps,moe_aux_loss_free_bias,moe_expert_dropout,moe_activation_passes,moe_region_diversity_weight,moe_mtp_mode,moe_mtp_horizons,self_cond,cross_layer_state,global_step,metrics_file
og00_anchor_dense_d1024_tick2,ctm,4.751480770111084,3032.5605788627217,49792.25,0.5,0.75,2,-1.0,1.0,0.0,0.0977163375544136,62.3659712657176,0.07618707243196515,"[4.923688, 4.747007]","[0.616411, 0.573605]",768,16,1024,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,none,1024,1,none,1,1,0,0,0.0,0.0,0.0,1.0,0,dense_mask,0,0,0.0,1,0.0,none,,1,1,2500,runs/metrics/og00_anchor_dense_d1024_tick2.csv
og00_anchor_dense_d512_tick2,ctm,4.694647026062012,5448.718730049931,30996.45556640625,0.75,0.3125,2,-1.0,1.0,0.0,0.1550925248336342,180.00406425882258,0.026080783483375777,"[4.486165, 4.47679]","[0.536271, 0.534554]",768,16,512,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,none,512,1,none,1,1,0,0,0.0,0.0,0.0,1.0,0,dense_mask,0,0,0.0,1,0.0,none,,1,1,2500,runs/metrics/og00_anchor_dense_d512_tick2.csv
og00_anchor_regional_d1024_p4_shared1_top1,ctm,7.837407088279724,561.3081335413004,39787.365234375,0.0,1.0,2,-1.0,0.125,0.0879349410533905,0.201709884811992,14.446282767417348,0.542520675696345,"[7.506401, 7.824102]","[0.621632, 0.557329]",768,16,1024,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,128,1,regional_shared_topk,16,1,1,64,0.01,0.0,0.0,1.0,0,block_sparse,0,0,0.0,4,0.001,none,,1,1,3500,runs/metrics/og00_anchor_regional_d1024_p4_shared1_top1.csv
og00_anchor_regional_d512_p4_halt0p30_mtp124,ctm,16.000424242019655,292.03919301854313,37978.2705078125,0.0,0.0,1,1.0,0.125,0.1513357162475586,0.4314160230244737,7.874190416055703,2.0320088030122214,[20.474411],[0.193754],768,16,512,256,4,8,2,1,2,min_conf,none,4,0.0,0.0,threshold,0.3,0.25,0.001,topk,64,1,regional_shared_topk,16,1,1,32,0.01,0.0,0.0,1.0,0,block_sparse,0,0,0.0,4,0.001,mtp_1_2_4,"1,2,4",1,1,2260,runs/metrics/og00_anchor_regional_d512_p4_halt0p30_mtp124.csv
og00_anchor_topk_d1024_k128,ctm,4.171364116668701,2065.8048236230593,50816.5,0.375,0.25,2,-1.0,0.125,0.0,0.08405688812627296,41.62789919396284,0.10020597237522041,"[4.575872, 4.409199]","[0.513197, 0.509772]",768,16,1024,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,128,1,none,1,1,0,0,0.0,0.0,0.0,1.0,0,dense_mask,0,0,0.0,1,0.0,none,,1,1,6000,runs/metrics/og00_anchor_topk_d1024_k128.csv
og00_anchor_topk_d1024_k256,ctm,3.5747442722320555,2645.714759264586,50822.0,0.3125,0.125,2,-1.0,0.25,0.0,0.07202664465714896,53.307857099030656,0.0670584875619969,"[3.377551, 3.422315]","[0.369413, 0.403102]",768,16,1024,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,256,1,none,1,1,0,0,0.0,0.0,0.0,1.0,0,dense_mask,0,0,0.0,1,0.0,none,,1,1,6000,runs/metrics/og00_anchor_topk_d1024_k256.csv
og01_capacity_d1024_e16_s64_p4_sh1_top1,ctm,38.25270338058472,339.0603127416554,39885.4677734375,0.0,1.0,2,-1.0,0.125,0.08780381828546524,0.9820812052204458,8.704868706057352,4.394403255498417,"[18.964809, 126.314308]","[0.240279, 0.0]",768,16,1024,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,128,1,regional_shared_topk,16,1,1,64,0.01,0.0,0.0,1.0,0,block_sparse,0,0,0.0,4,0.001,none,,1,1,3500,runs/metrics/og01_capacity_d1024_e16_s64_p4_sh1_top1.csv
og01_capacity_d1024_e16_s64_p4_sh1_top2,ctm,4.636063432693481,307.31419028418156,46860.6767578125,0.1875,0.375,2,-1.0,0.1875,0.0005456889630295336,0.10130730675558716,6.715432909289719,0.6903595784986899,"[5.66054, 5.674578]","[0.66067, 0.662122]",768,16,1024,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,192,1,regional_shared_topk,16,2,1,64,0.01,0.0,0.0,1.0,0,block_sparse,0,0,0.0,4,0.001,none,,1,1,2120,runs/metrics/og01_capacity_d1024_e16_s64_p4_sh1_top2.csv
og01_capacity_d1024_e8_s128_p4_sh1_top1,ctm,3.8458722472190856,676.4261379676806,52060.18017578125,0.125,0.0,2,-1.0,0.25,0.0005970235797576606,0.07564655304409432,13.304993623536001,0.2890547982237204,"[4.22647, 4.293926]","[0.468364, 0.483405]",768,16,1024,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,256,1,regional_shared_topk,8,1,1,128,0.01,0.0,0.0,1.0,0,block_sparse,0,0,0.0,4,0.001,none,,1,1,3500,runs/metrics/og01_capacity_d1024_e8_s128_p4_sh1_top1.csv
og01_capacity_d1024_e8_s128_p4_sh2_top1,ctm,3.9565380096435545,658.1204517324103,64873.64306640625,0.0625,0.0625,2,-1.0,0.375,0.0003998594474978745,0.06245209503230442,10.38812236710912,0.38087133264532463,"[4.489192, 4.564725]","[0.512285, 0.531716]",768,16,1024,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,384,1,regional_shared_topk,8,1,2,128,0.01,0.0,0.0,1.0,0,block_sparse,0,0,0.0,4,0.001,none,,1,1,3500,runs/metrics/og01_capacity_d1024_e8_s128_p4_sh2_top1.csv
