stage,exp,task,sweep,seed,status,ckpt,n_points,final_iter,final_test_acc,best_test_acc,final_train_acc,best_train_acc,final_test_acc_mc,best_test_acc_mc,final_test_loss,d_model,heads,memory_hidden_dims,synapse_depth,n_ticks,length,neuron_select_type,batch_size,learning_rate,jepa_weight,jepa_loss_type,jepa_predict_delta,cross_tick_jepa_weight,sparsity,halt_threshold,halt_confidence_weight,halt_mode,loss_type,loss_aggregation,reflex_weight
st25,cifar10_fixed_s1,cifar10,fixed,1,ok,checkpoint.pt,101,200000,0.720254,0.7211060000000002,0.7356984375000001,0.73796015625,0.8447,0.8471,0.5186561137437821,256,16,64,5,,,random-pairing,512,,,,,0.1,,,,,softmax_ce,,0.1
st25,cifar10_balance_s0,cifar10,balance,0,ok,checkpoint.pt,101,200000,0.655812,0.8024600000000001,0.66527265625,0.817196875,0.8399,0.8416,0.5072811752557754,256,16,64,5,,,random-pairing,512,,,,,0.1,,,,,softmax_ce,,0.1
st25,cifar10_gate_s0,cifar10,gate,0,ok,checkpoint.pt,101,200000,0.667476,0.7342699999999998,0.6524367187499999,0.71810234375,0.8406,0.8442,0.4888315737247467,256,16,64,5,,,random-pairing,512,,,,,0.1,,,,,softmax_ce,,0.1
st25,cifar10_fixed_s2,cifar10,fixed,2,ok,checkpoint.pt,101,200000,0.7175259999999999,0.754136,0.6929820312499999,0.7188609375,0.8472,0.8501,0.46552092432975767,256,16,64,5,,,random-pairing,512,,,,,0.1,,,,,softmax_ce,,0.1
st25,cifar10_gate_s1,cifar10,gate,1,ok,checkpoint.pt,101,200000,0.5418020000000001,0.651212,0.5013726562499999,0.5824296874999999,0.8249,0.8257,0.35694069415330887,256,16,64,5,,,random-pairing,512,,,,,0.1,,,,,softmax_ce,,0.1
st25,cifar10_fixed_s0,cifar10,fixed,0,ok,checkpoint.pt,101,200000,0.6859000000000001,0.727202,0.6663265625,0.6953195312499999,0.8363,0.8381,0.47296120077371595,256,16,64,5,,,random-pairing,512,,,,,0.1,,,,,softmax_ce,,0.1
st25,cifar10_gate_s2,cifar10,gate,2,ok,checkpoint.pt,101,200000,0.6184660000000001,0.6762360000000003,0.59611875,0.6419,0.8522,0.8522,0.4261791780591011,256,16,64,5,,,random-pairing,512,,,,,0.1,,,,,softmax_ce,,0.1
st25,cifar10_balance_s1,cifar10,balance,1,ok,checkpoint.pt,101,200000,0.42250800000000005,0.6039059999999999,0.434721875,0.559128125,0.8374,0.8391,0.5509830340743065,256,16,64,5,,,random-pairing,512,,,,,0.1,,,,,softmax_ce,,0.1
st25,cifar10_uncertainty_s0,cifar10,uncertainty,0,ok,checkpoint.pt,101,200000,0.100032,0.697822,0.09968203125000001,0.65429609375,0.498,0.8363,1.0463824331760407,256,16,64,5,,,random-pairing,512,,,,,0.1,,,,,softmax_ce,,0.1
st25,cifar10_balance_s2,cifar10,balance,2,ok,checkpoint.pt,101,200000,0.42166800000000004,0.620156,0.41271328125000006,0.58186328125,0.8445,0.8488,0.4893831819295883,256,16,64,5,,,random-pairing,512,,,,,0.1,,,,,softmax_ce,,0.1
st25,parity_fixed_s1,parity,fixed,1,ok,checkpoint_200000.pt,201,200000,0.8140926106770833,0.8707358708457343,0.8137819320436508,0.8705407908606152,0.9999767485119048,1.0,6.435653120293172e-05,1024,8,16,1,,,random,64,,,,,0.1,,,,,softmax_ce,,0.1
st25,parity_fixed_s0,parity,fixed,0,ok,checkpoint_200000.pt,201,200000,0.8507483103918653,0.8510402328249008,0.8507173084077383,0.8507743520585318,0.9995059058779762,0.9995989118303571,0.0013508271243024086,1024,8,16,1,,,random,64,,,,,0.1,,,,,softmax_ce,,0.1
st25,parity_balance_s2,parity,balance,2,ok,checkpoint_200000.pt,201,200000,0.5170515562996031,0.5217732747395833,0.5163593982514881,0.5225561135912699,0.5272362118675595,0.5302530924479166,0.6529026201793126,1024,8,16,1,,,random,64,,,,,0.1,,,,,softmax_ce,,0.1
st25,parity_gate_s1,parity,gate,1,ok,checkpoint_200000.pt,201,200000,0.906063755580357,0.906063755580357,0.9059814840649804,0.9060559275793648,0.9999273390997023,0.9999302455357143,0.00022112652749499482,1024,8,16,1,,,random,64,,,,,0.1,,,,,softmax_ce,,0.1
st25,parity_gate_s2,parity,gate,2,ok,checkpoint_200000.pt,201,200000,0.8421589394221229,0.855648445250496,0.8419877309647819,0.8556337193080358,0.9998372395833334,0.9999128069196429,0.00042273430708086206,1024,8,16,1,,,random,64,,,,,0.1,,,,,softmax_ce,,0.1
st25,sort_balance_s0,sort,balance,0,ok,checkpoint.pt,101,100000,0.23333333333333334,0.25590277777777776,0.27361111111111114,0.27881944444444445,,,0.37607354919115704,512,4,4,4,,,random-pairing,32,,,,,0.1,,,,,softmax_ce,,0.1
st25,sort_balance_s1,sort,balance,1,ok,checkpoint.pt,101,100000,0.19791666666666666,0.24965277777777778,0.1951388888888889,0.25729166666666664,,,0.4304359555244446,512,4,4,4,,,random-pairing,32,,,,,0.1,,,,,softmax_ce,,0.1
st25,mazes_fixed_s0,mazes,fixed,0,ok,checkpoint.pt,100,100000,0.8562442666666668,0.8765495999999999,0.8710683854166665,0.8962583854166667,0.86852,0.88749,0.44054538384079933,2048,16,32,8,,,first-last,64,,,,,0.1,,,,,softmax_ce,,0.1
st25,sort_balance_s2,sort,balance,2,ok,checkpoint.pt,101,100000,0.4934027777777778,0.6333333333333333,0.5375,0.5965277777777778,,,0.1516266167163849,512,4,4,4,,,random-pairing,32,,,,,0.1,,,,,softmax_ce,,0.1
st25,mazes_fixed_s1,mazes,fixed,1,ok,checkpoint.pt,100,100000,0.9045211999999999,0.904584,0.9473752083333333,0.9497783854166667,0.91222,0.91292,0.4258797839283943,2048,16,32,8,,,first-last,64,,,,,0.1,,,,,softmax_ce,,0.1
st25,sort_fixed_s0,sort,fixed,0,ok,checkpoint.pt,101,100000,0.6715277777777777,0.7611111111111111,0.690625,0.76875,,,0.12488281726837158,512,4,4,4,,,random-pairing,32,,,,,0.1,,,,,softmax_ce,,0.1
