env,model,seed,horizon,success_rate,random_rate,final_loss,dynamics_err,latent_var,elapsed_s
cartpole,jepa-mlp,0,6,12.5,18.8,3.16385,0.07535,0.06097,78.0
cartpole,jepa-mlp,1,6,12.5,12.5,2.99814,0.08461,0.08917,79.9
cartpole,jepa-mlp,2,6,12.5,18.8,2.99017,0.0761,0.09502,79.2
cartpole,stream-ctm,0,6,18.8,12.5,3.52817,0.40773,0.05909,145.7
cartpole,stream-ctm,1,6,12.5,18.8,3.37436,0.4552,0.08804,146.3
cartpole,stream-ctm,2,6,18.8,12.5,3.3617,0.48853,0.10415,149.9
cartpole-partial,jepa-mlp,0,6,25.0,12.5,3.06997,0.05494,0.07321,79.9
cartpole-partial,jepa-mlp,1,6,25.0,18.8,3.17904,0.06863,0.05906,75.7
cartpole-partial,jepa-mlp,2,6,18.8,18.8,3.26768,0.04758,0.04737,78.1
cartpole-partial,stream-ctm,0,6,25.0,18.8,3.41406,0.37725,0.06934,148.6
cartpole-partial,stream-ctm,1,6,18.8,18.8,3.54826,0.42931,0.05686,162.1
cartpole-partial,stream-ctm,2,6,18.8,18.8,3.66057,0.44102,0.0466,149.2
pendulum,jepa-mlp,0,6,25.0,12.5,3.14781,0.12669,0.07077,62.7
pendulum,jepa-mlp,1,6,43.8,25.0,3.12807,0.10364,0.07426,66.8
pendulum,jepa-mlp,2,6,37.5,12.5,3.08638,0.13016,0.08265,64.0
pendulum,stream-ctm,0,6,50.0,18.8,3.45273,0.44962,0.07184,135.7
pendulum,stream-ctm,1,6,62.5,25.0,3.42552,0.44898,0.08154,111.2
pendulum,stream-ctm,2,6,37.5,18.8,3.47224,0.49531,0.08112,116.6
pendulum-partial,jepa-mlp,0,6,0.0,18.8,3.18826,0.07827,0.06116,65.2
pendulum-partial,jepa-mlp,1,6,0.0,6.2,3.30056,0.0899,0.04802,60.0
pendulum-partial,jepa-mlp,2,6,6.2,12.5,3.40146,0.07018,0.03403,54.3
pendulum-partial,stream-ctm,0,6,12.5,12.5,3.44814,0.35139,0.06259,111.3
pendulum-partial,stream-ctm,1,6,6.2,18.8,3.60885,0.37371,0.04485,111.6
pendulum-partial,stream-ctm,2,6,0.0,12.5,3.77176,0.49653,0.03956,116.9
point-image,jepa-mlp,0,6,43.8,6.2,4.23742,0.26183,5e-05,30.2
point-state,jepa-mlp,0,6,100.0,43.8,3.5706,0.06359,0.02001,29.8
point-state,jepa-mlp,1,6,100.0,31.2,3.6543,0.06168,0.01361,27.4
point-state,jepa-mlp,2,6,100.0,31.2,3.73502,0.07884,0.00943,27.5
point-state,stream-ctm,0,6,81.2,25.0,4.06834,0.52394,0.01683,53.9
point-state,stream-ctm,1,6,100.0,31.2,3.87638,0.31494,0.01587,54.9
point-state,stream-ctm,2,6,100.0,50.0,4.04722,0.42789,0.01146,53.6
reacher,jepa-mlp,0,6,93.8,43.8,3.48569,0.06349,0.02802,32.5
reacher,jepa-mlp,1,6,93.8,18.8,3.52881,0.05858,0.02304,31.5
reacher,jepa-mlp,2,6,93.8,43.8,3.62456,0.08368,0.01684,29.2
reacher,stream-ctm,0,6,87.5,31.2,4.00345,0.46903,0.01993,59.7
reacher,stream-ctm,1,6,93.8,18.8,3.90814,0.35873,0.01724,63.4
reacher,stream-ctm,2,6,93.8,31.2,3.95752,0.45289,0.01956,72.5
tworoom-state,jepa-mlp,0,6,50.0,0.0,3.58247,0.06481,0.01906,48.5
tworoom-state,jepa-mlp,1,6,62.5,6.2,3.6374,0.05865,0.01474,47.9
tworoom-state,jepa-mlp,2,6,62.5,0.0,3.72869,0.07727,0.00975,37.9
tworoom-state,stream-ctm,0,6,50.0,18.8,4.05455,0.52159,0.01812,85.1
tworoom-state,stream-ctm,1,6,50.0,0.0,3.9327,0.31419,0.01198,87.4
tworoom-state,stream-ctm,2,6,50.0,6.2,4.05806,0.43053,0.01082,77.8
