experiment_name,model_type,loss,tokens_per_sec,peak_memory_mb,best_tick,conf_tick,tick_count,effective_tick,active_cell_fraction,moe_aux_loss,loss_per_gb,tokens_per_gb,quality_cost_score,losses_per_tick,certainties_per_tick,hidden_size,num_hidden_layers,d_model,d_input,iterations,memory_length,memory_hidden_dims,deep_nlms,synapse_depth,tick_loss_mode,elf_horizon_mode,elf_max_horizon,tick_improve_weight,tick_improve_margin,tick_halt_mode,tick_halt_threshold,tick_halt_temperature,tick_compute_weight,cell_sparsity_mode,cell_topk,cell_sparsity_rescale,moe_routing_mode,moe_num_experts,moe_topk_experts,moe_shared_experts,moe_expert_size,moe_load_balance_weight,moe_router_entropy_weight,moe_router_z_loss_weight,moe_capacity_factor,moe_drop_tokens,moe_dispatch_mode,moe_topk_warmup_steps,moe_aux_loss_free_bias,moe_expert_dropout,moe_mtp_mode,moe_mtp_horizons,self_cond,cross_layer_state,global_step,metrics_file
moe00_dense_d512_tick2,ctm,12.52665638923645,1653.7290458528955,6364.30908203125,1.0,1.0,2,-1.0,1.0,0.0,2.0155049004131853,266.0805000395878,0.04707844576123661,"[7.222341, 7.107817]","[0.899691, 0.771793]",768,16,512,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,none,512,1,none,1,1,0,0,0.0,0.0,0.0,1.0,0,dense_mask,0,0,0.0,none,,1,1,100,runs/metrics/moe00_dense_d512_tick2.csv
moe00_router_top2_e8_s64,ctm,12.405669021606446,1627.3910784470693,6420.80908203125,1.0,0.0,2,-1.0,0.25,0.0,1.978474194735942,259.5387034623697,0.04779891729483473,"[7.246652, 7.211842]","[0.800127, 0.864403]",768,16,512,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,128,1,topk,8,2,0,64,0.0,0.0,0.0,1.0,0,dense_mask,0,0,0.0,none,,1,1,100,runs/metrics/moe00_router_top2_e8_s64.csv
moe01_router_expert_choice_e16_s64_k2,ctm,5.569691514968872,2701.3307653180336,34319.599609375,0.5,0.20000000298023224,2,-1.0,0.125,0.0,0.16618387674226104,80.60008669011513,0.06910279806996714,"[6.536073, 6.48026]","[0.741427, 0.743362]",768,16,1024,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,128,1,expert_choice,16,2,0,64,0.0,0.0,0.0,1.0,0,dense_mask,0,0,0.0,none,,1,1,1000,runs/metrics/moe01_router_expert_choice_e16_s64_k2.csv
moe01_router_hash_e16_s64_k2,ctm,5.625957322120667,2413.219383160406,28220.541015625,0.5,1.0,2,-1.0,0.125,0.0,0.20414138391825493,87.56517626604145,0.06424879800421829,"[6.502634, 6.49515]","[0.761872, 0.744238]",768,16,1024,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,128,1,hash,16,2,0,64,0.0,0.0,0.0,1.0,0,dense_mask,0,0,0.0,none,,1,1,1000,runs/metrics/moe01_router_hash_e16_s64_k2.csv
moe01_router_top1_e16_s64_k1,ctm,5.5162104845046995,2681.514408280177,34319.599609375,0.0,0.0,2,-1.0,0.0625,0.0,0.1645881537204705,80.00882251927027,0.0689450276958658,"[6.446958, 6.494096]","[0.73614, 0.794322]",768,16,1024,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,64,1,top1,16,1,0,64,0.0,0.0,0.0,1.0,0,dense_mask,0,0,0.0,none,,1,1,1000,runs/metrics/moe01_router_top1_e16_s64_k1.csv
moe01_router_top2_e16_s64_k2,ctm,6.287163090705872,1514.6479673598924,9701.7412109375,1.0,1.0,2,-1.0,0.125,0.0,0.6635978908223928,159.8681602461187,0.03932717484849215,"[6.943209, 6.826992]","[0.832805, 0.786715]",768,16,1024,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,128,1,top2,16,2,0,64,0.0,0.0,0.0,1.0,0,dense_mask,0,0,0.0,none,,1,1,1000,runs/metrics/moe01_router_top2_e16_s64_k2.csv
moe01_router_top4_e16_s64_k4,ctm,5.508439588546753,2394.3262365186592,28220.541015625,0.25,1.0,2,-1.0,0.25,0.0,0.19987717937614286,86.87962661090066,0.06340312226728213,"[6.404908, 6.414245]","[0.728895, 0.70719]",768,16,1024,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,256,1,top4,16,4,0,64,0.0,0.0,0.0,1.0,0,dense_mask,0,0,0.0,none,,1,1,1000,runs/metrics/moe01_router_top4_e16_s64_k4.csv
moe02_shared0_routed2_e16_s64,ctm,5.551341271400451,2397.0500957301338,28220.541015625,1.0,1.0,2,-1.0,0.125,0.0,0.20143389379979135,86.97846354783272,0.06382431977943093,"[6.532484, 6.441742]","[0.769106, 0.730312]",768,16,1024,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,128,1,topk,16,2,0,64,0.0,0.0,0.0,1.0,0,dense_mask,0,0,0.0,none,,1,1,1000,runs/metrics/moe02_shared0_routed2_e16_s64.csv
moe02_shared1_routed2_e16_s64,ctm,5.493361163139343,2618.7765284611787,40460.021484375,0.25,0.3333333432674408,2,-1.0,0.1875,0.0,0.13903111329851983,66.278441453123,0.08288307695081595,"[6.498097, 6.556415]","[0.735054, 0.753114]",768,16,1024,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,192,1,shared_topk,16,2,1,64,0.0,0.0,0.0,1.0,0,dense_mask,0,0,0.0,none,,1,1,1000,runs/metrics/moe02_shared1_routed2_e16_s64.csv
moe02_shared2_routed2_e16_s64,ctm,5.468961906433106,2597.137423376713,40459.521484375,0.9166666865348816,0.4166666865348816,2,-1.0,0.25,0.0,0.13841530464838145,65.7315910808488,0.08320142288517511,"[6.616103, 6.478194]","[0.748287, 0.733064]",768,16,1024,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,256,1,shared_topk,16,2,2,64,0.0,0.0,0.0,1.0,0,dense_mask,0,0,0.0,none,,1,1,1000,runs/metrics/moe02_shared2_routed2_e16_s64.csv
