stage,task,sweep,seed,best_test_acc,final_test_acc,best_test_acc_mc,delta_pp,n_points,final_iter
st00,cifar10,ff,,0.8424,0.8407,,19.810000000000006,101,200000
st00,cifar10,paper,0.0,0.669044,0.6562039999999999,0.8516,2.474399999999999,101,200000
st01,cifar10,d_model2x,1.0,0.7363219999999999,0.7333699999999999,0.8625,9.202199999999994,101,200000
st01,cifar10,d_model2x,2.0,0.717958,0.6632620000000001,0.8653,7.3658,101,200000
st01,cifar10,d_model2x,,0.7269199999999999,0.68639,0.8686,8.261999999999992,101,200000
st01,cifar10,d_modeld2,1.0,0.643716,0.620546,0.8322,-0.058400000000002894,101,200000
st01,cifar10,d_modeld2,2.0,0.7119900000000001,0.7087020000000002,0.8375,6.769000000000014,101,200000
st01,cifar10,d_modeld2,,0.713488,0.687428,0.824,6.918800000000003,101,200000
st01,cifar10,d_modeld4,1.0,0.736114,0.7225940000000002,0.8266,9.181400000000007,101,200000
st01,cifar10,d_modeld4,2.0,0.6708459999999999,0.668842,0.8224,2.654599999999996,101,200000
st01,cifar10,d_modeld4,,0.7061879999999999,0.672782,0.8226,6.188799999999994,101,200000
st01,cifar10,headsh16,1.0,0.6332639999999999,0.617522,0.8307,-1.1036000000000046,101,200000
st01,cifar10,headsh16,2.0,0.712076,0.683262,0.8493,6.777600000000006,101,200000
st01,cifar10,headsh16,,0.6853999999999999,0.662416,0.8438,4.109999999999991,101,200000
st01,cifar10,headsh2,1.0,0.608972,0.59862,0.8033,-3.5328000000000026,101,200000
st01,cifar10,headsh2,2.0,0.6569780000000001,0.6165360000000001,0.8503,1.2678000000000078,101,200000
st01,cifar10,headsh2,,0.6514819999999999,0.629668,0.8434,0.7181999999999911,101,200000
st01,cifar10,headsh8,1.0,0.678238,0.6640999999999999,0.8407,3.3938000000000024,101,200000
st01,cifar10,headsh8,2.0,0.6548920000000001,0.64119,0.8526,1.0592000000000157,101,200000
st01,cifar10,headsh8,,0.6684,0.6340859999999999,0.8466,2.410000000000001,101,200000
st01,cifar10,memory_hidden_dimsmh1,1.0,0.324694,0.324694,0.5863,-31.9606,2,2000
st01,cifar10,memory_hidden_dimsmh1,2.0,0.680644,0.67235,0.8437,3.6344000000000043,101,200000
st01,cifar10,memory_hidden_dimsmh1,,0.6821980000000001,0.6664359999999999,0.8423,3.78980000000001,101,200000
st01,cifar10,memory_hidden_dimsmh2,1.0,0.7165640000000001,0.693688,0.8407,7.226400000000011,101,200000
st01,cifar10,memory_hidden_dimsmh2,2.0,0.647114,0.6301500000000001,0.8502,0.2813999999999983,101,200000
st01,cifar10,memory_hidden_dimsmh2,,0.6881559999999999,0.68104,0.8441,4.3855999999999895,101,200000
st01,cifar10,memory_hidden_dimsmh32,1.0,0.7051040000000001,0.6948979999999999,0.8446,6.080400000000008,101,200000
st01,cifar10,memory_hidden_dimsmh32,2.0,0.6514719999999999,0.630288,0.8484,0.7171999999999956,101,200000
st01,cifar10,memory_hidden_dimsmh32,,0.6595059999999999,0.658914,0.8421,1.5205999999999942,101,200000
st01,cifar10,nst_random-pairing,1.0,0.55315,0.54156,0.818,-9.114999999999995,101,200000
