stage,exp,task,sweep,seed,status,ckpt,n_points,final_iter,final_test_acc,best_test_acc,final_train_acc,best_train_acc,final_test_acc_mc,best_test_acc_mc,final_test_loss,d_model,heads,memory_hidden_dims,synapse_depth,n_ticks,length,neuron_select_type,batch_size,learning_rate,jepa_weight,jepa_loss_type,jepa_predict_delta,cross_tick_jepa_weight,sparsity,halt_threshold,halt_confidence_weight,halt_mode,loss_type,loss_aggregation,reflex_weight
baseline,cifar10_baseline_s0,cifar10,baseline,0,ok,checkpoint.pt,101,200000,0.7004119999999999,0.7344339999999998,0.69145234375,0.69840859375,0.8373,0.8381,0.41442991346120833,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
baseline,cifar10_baseline_s2,cifar10,baseline,2,ok,checkpoint.pt,101,200000,0.6938159999999999,0.7028679999999998,0.7214367187499999,0.7296851562500001,0.8452,0.8487,0.49651951491832735,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
baseline,cifar10_baseline_s4,cifar10,baseline,4,ok,checkpoint.pt,101,200000,0.6682099999999999,0.6818579999999999,0.6981085937500001,0.70283671875,0.8473,0.8493,0.4847794696688652,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
baseline,cifar10_baseline_s3,cifar10,baseline,3,ok,checkpoint.pt,101,200000,0.7022899999999999,0.7130679999999999,0.6927898437500001,0.6983117187500001,0.8402,0.842,0.43235558420419695,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
baseline,cifar10_baseline_s1,cifar10,baseline,1,ok,checkpoint.pt,101,200000,0.541334,0.6197579999999999,0.5026390625,0.567153125,0.8328,0.8335,0.34793530851602555,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
baseline,sort_baseline_s0,sort,baseline,0,ok,checkpoint.pt,101,100000,0.8125,0.8753472222222223,0.8597222222222223,0.8986111111111111,,,0.0482308113326629,512,4,4,4,,,random-pairing,32,,,,,0.0,,,,,softmax_ce,,0.1
baseline,sort_baseline_s1,sort,baseline,1,ok,checkpoint.pt,101,100000,0.9166666666666666,0.9545138888888889,0.9072916666666667,0.9371527777777777,,,0.03447251208126545,512,4,4,4,,,random-pairing,32,,,,,0.0,,,,,softmax_ce,,0.1
baseline,qamnist_baseline_s4,qamnist,baseline,4,ok,checkpoint_200000.pt,201,200000,0.18119264632936508,0.5716964285714285,0.9149925595238095,0.9260230654761905,0.7483258928571429,0.9964657738095238,0.521141767501831,1024,4,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
baseline,parity_baseline_s3,parity,baseline,3,ok,checkpoint_200000.pt,201,200000,0.6891910807291668,0.7336679997519842,0.6888046797495039,0.7333140733506944,1.0,1.0,2.4738179758644815e-10,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
baseline,qamnist_baseline_s0,qamnist,baseline,0,ok,checkpoint_200000.pt,201,200000,0.2341331845238095,0.36624391233766235,0.9204799107142858,0.9319754464285713,0.9799107142857143,0.9953497023809523,0.13475361670411767,1024,4,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
baseline,parity_baseline_s4,parity,baseline,4,ok,checkpoint_200000.pt,201,200000,0.6756326729910714,0.6769445607018849,0.6749485367063492,0.6763177393353175,0.9999069940476191,0.9999709356398809,0.00019784355614438893,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
baseline,qamnist_baseline_s3,qamnist,baseline,3,ok,checkpoint_200000.pt,201,200000,0.17928571428571427,0.3828390731292517,0.8797247023809524,0.9456473214285716,0.9827008928571429,0.9968377976190477,0.09328800544054025,1024,4,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
baseline,parity_baseline_s2,parity,baseline,2,ok,checkpoint_200000.pt,201,200000,0.6491181098090277,0.6848913380456351,0.6492750961061509,0.6850835503472222,0.9999360584077381,0.9999447777157738,0.00016817393450418465,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
