experiment_name,model_type,loss,tokens_per_sec,peak_memory_mb,best_tick,conf_tick,tick_count,effective_tick,active_cell_fraction,moe_aux_loss,loss_per_gb,tokens_per_gb,quality_cost_score,losses_per_tick,certainties_per_tick,hidden_size,num_hidden_layers,d_model,d_input,iterations,memory_length,memory_hidden_dims,deep_nlms,synapse_depth,tick_loss_mode,elf_horizon_mode,elf_max_horizon,tick_improve_weight,tick_improve_margin,tick_halt_mode,tick_halt_threshold,tick_halt_temperature,tick_compute_weight,cell_sparsity_mode,cell_topk,cell_sparsity_rescale,moe_routing_mode,moe_num_experts,moe_topk_experts,moe_shared_experts,moe_expert_size,moe_load_balance_weight,moe_router_entropy_weight,moe_router_z_loss_weight,moe_capacity_factor,moe_drop_tokens,moe_dispatch_mode,moe_topk_warmup_steps,moe_aux_loss_free_bias,moe_expert_dropout,moe_activation_passes,moe_region_diversity_weight,moe_mtp_mode,moe_mtp_horizons,self_cond,cross_layer_state,global_step,metrics_file
rg00_dense_d512_tick2,ctm,10.772989988327026,4451.396486286303,24688.60888671875,0.4166666865348816,1.0,2,-1.0,1.0,0.0,0.44682719057456893,184.6288716740649,0.058349433058038476,"[7.091855, 7.056678]","[0.82789, 0.789861]",768,16,512,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,none,512,1,none,1,1,0,0,0.0,0.0,0.0,1.0,0,dense_mask,0,0,0.0,1,0.0,none,,1,1,100,runs/metrics/rg00_dense_d512_tick2.csv
rg00_regional_p2_shared1_top1_e16_s64,ctm,10.932212924957275,2447.4315295676556,42008.072265625,0.3333333432674408,1.0,2,-1.0,0.125,7.793876761752472e-07,0.2664865448804878,59.65924526196518,0.18324423778667773,"[7.244711, 7.268574]","[0.79084, 0.722946]",768,16,1024,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,128,1,regional_shared_topk,16,1,1,64,0.01,0.0,0.0,1.0,0,dense_mask,0,0,0.0,2,0.0,none,,1,1,100,runs/metrics/rg00_regional_p2_shared1_top1_e16_s64.csv
rg00_singlepass_top2_e16_s64,ctm,10.522032976150513,2488.6452058625114,41239.337890625,0.6666666865348816,0.0,2,-1.0,0.125,4.523266397882253e-06,0.2612690290070715,61.79470430786274,0.17027402419031712,"[7.158859, 7.20722]","[0.832665, 0.863548]",768,16,1024,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,128,1,topk,16,2,0,64,0.01,0.0,0.0,1.0,0,dense_mask,0,0,0.0,1,0.0,none,,1,1,100,runs/metrics/rg00_singlepass_top2_e16_s64.csv
rg01_p1_shared1_top1_e16_s64,ctm,5.356731271743774,2592.14697270628,41239.294921875,0.1666666716337204,0.25,2,-1.0,0.125,5.555310053750873e-06,0.13301131439461159,64.36478860949805,0.08322456093568686,"[6.247594, 6.292408]","[0.697774, 0.715774]",768,16,1024,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,128,1,regional_shared_topk,16,1,1,64,0.01,0.0,0.0,1.0,0,dense_mask,0,0,0.0,1,0.0,none,,1,1,1000,runs/metrics/rg01_p1_shared1_top1_e16_s64.csv
rg01_p2_shared1_top1_e16_s64,ctm,5.458035922050476,2570.6638982533964,42010.572265625,0.8333333730697632,0.8333333730697632,2,-1.0,0.125,1.0277782394041424e-06,0.13303862534509892,62.65946141289289,0.08710633316946167,"[6.640714, 6.464682]","[0.765342, 0.730157]",768,16,1024,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,128,1,regional_shared_topk,16,1,1,64,0.01,0.0,0.0,1.0,0,dense_mask,0,0,0.0,2,0.0,none,,1,1,1000,runs/metrics/rg01_p2_shared1_top1_e16_s64.csv
rg01_p2_shared1_top2_e16_s64,ctm,5.4732682466506954,2555.17291541159,42010.572265625,0.9166666865348816,0.75,2,-1.0,0.1875,3.0528465231327573e-06,0.133409910465711,62.28187154504457,0.08787899449508713,"[6.609855, 6.436969]","[0.758871, 0.723225]",768,16,1024,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,192,1,regional_shared_topk,16,2,1,64,0.01,0.0,0.0,1.0,0,dense_mask,0,0,0.0,2,0.0,none,,1,1,1000,runs/metrics/rg01_p2_shared1_top2_e16_s64.csv
rg01_p3_shared1_top1_e16_s64,ctm,5.4768823146820065,2510.4334560803604,42776.044921875,0.9166666865348816,1.0,2,-1.0,0.125,1.2760682466250728e-06,0.13110907052013038,60.096342794695396,0.09113503517830443,"[6.617553, 6.49181]","[0.764664, 0.735477]",768,16,1024,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,128,1,regional_shared_topk,16,1,1,64,0.01,0.0,0.0,1.0,0,dense_mask,0,0,0.0,3,0.0,none,,1,1,1000,runs/metrics/rg01_p3_shared1_top1_e16_s64.csv
rg01_p3_shared1_top2_e16_s64,ctm,5.451230597496033,2509.58253584819,42776.044921875,0.9166666865348816,0.8333333730697632,2,-1.0,0.1875,3.406365749469842e-06,0.13049500350092813,60.07597292835236,0.09073894823138802,"[6.548087, 6.400932]","[0.749848, 0.717892]",768,16,1024,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,192,1,regional_shared_topk,16,2,1,64,0.01,0.0,0.0,1.0,0,dense_mask,0,0,0.0,3,0.0,none,,1,1,1000,runs/metrics/rg01_p3_shared1_top2_e16_s64.csv
rg01_p4_shared1_top1_e16_s64,ctm,5.359120726585388,2485.9478419643992,43544.994140625,0.5,0.4166666865348816,2,-1.0,0.125,1.9029971554118674e-06,0.1260245806050916,58.45931640157542,0.0916726547018084,"[6.233734, 6.22939]","[0.70313, 0.709462]",768,16,1024,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,128,1,regional_shared_topk,16,1,1,64,0.01,0.0,0.0,1.0,0,dense_mask,0,0,0.0,4,0.0,none,,1,1,1000,runs/metrics/rg01_p4_shared1_top1_e16_s64.csv
rg01_p4_shared1_top2_e16_s64,ctm,5.3439525127410885,2465.575971886535,43543.615234375,0.5,0.1666666716337204,2,-1.0,0.1875,2.3313286874326877e-06,0.12567186586581136,57.98208948940642,0.09216557319338159,"[6.225168, 6.248845]","[0.694811, 0.707629]",768,16,1024,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,192,1,regional_shared_topk,16,2,1,64,0.01,0.0,0.0,1.0,0,dense_mask,0,0,0.0,4,0.0,none,,1,1,1000,runs/metrics/rg01_p4_shared1_top2_e16_s64.csv
