experiment_name,model_type,loss,tokens_per_sec,peak_memory_mb,best_tick,conf_tick,tick_count,effective_tick,active_cell_fraction,loss_per_gb,tokens_per_gb,quality_cost_score,losses_per_tick,certainties_per_tick,hidden_size,num_hidden_layers,d_model,d_input,iterations,memory_length,memory_hidden_dims,deep_nlms,synapse_depth,tick_loss_mode,elf_horizon_mode,elf_max_horizon,tick_improve_weight,tick_improve_margin,tick_halt_mode,tick_halt_threshold,tick_halt_temperature,tick_compute_weight,cell_sparsity_mode,cell_topk,cell_sparsity_rescale,self_cond,cross_layer_state,global_step,metrics_file
sp00_sparse_d512_dense,ctm,11.688483715057373,2613.4169062999335,40834.98681640625,2.25,3.0,4,-1.0,1.0,0.29310667781114524,65.5354420483354,0.17835362591186277,"[7.382603, 7.119389, 7.069285, 7.059743]","[0.9354, 0.857692, 0.810611, 0.799634]",768,16,512,256,4,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,none,512,1,1,1,100,runs/metrics/sp00_sparse_d512_dense.csv
sp00_sparse_d512_topk256,ctm,11.233512830734252,2515.080685923217,41602.84033203125,2.4166667461395264,3.0,4,-1.0,0.5,0.27649836037313263,61.905451691058346,0.18146241605336397,"[7.939475, 7.381113, 7.154947, 7.106613]","[0.979005, 0.931643, 0.85587, 0.804528]",768,16,512,256,4,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,256,1,1,1,100,runs/metrics/sp00_sparse_d512_topk256.csv
sp01_d1024_dense,ctm,5.424144887924195,1500.556190364876,68727.6494140625,2.5833334922790527,2.6666667461395264,4,-1.0,1.0,0.08081644596589235,22.357370753017964,0.24261103632644299,"[6.587408, 6.51133, 6.42519, 6.379171]","[0.770689, 0.754134, 0.73501, 0.7169]",768,16,1024,256,4,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,none,1024,1,1,1,1000,runs/metrics/sp01_d1024_dense.csv
sp01_d1024_topk512,ctm,5.437043929100037,1443.7483678117133,70266.5244140625,2.3333334922790527,2.5833334922790527,4,-1.0,0.5,0.07923450077864108,21.03986700590703,0.2584162688658424,"[6.799816, 6.674143, 6.560246, 6.45726]","[0.825019, 0.760025, 0.754281, 0.732451]",768,16,1024,256,4,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,512,1,1,1,1000,runs/metrics/sp01_d1024_topk512.csv
sp01_d256_dense,ctm,5.5413994789123535,4333.667205436781,27011.4580078125,2.25,3.0,4,-1.0,1.0,0.21007355710917383,164.2886221500431,0.033729660681257954,"[6.904514, 6.747625, 6.622955, 6.584434]","[0.840309, 0.744668, 0.739749, 0.716638]",768,16,256,256,4,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,none,256,1,1,1,1000,runs/metrics/sp01_d256_dense.csv
sp01_d256_topk128,ctm,5.444147968292237,4139.348039873223,27394.8330078125,2.75,2.8333334922790527,4,-1.0,0.5,0.20349850345652476,154.72598031976992,0.035185739053266274,"[6.905005, 6.577775, 6.434087, 6.387095]","[0.850202, 0.772654, 0.714714, 0.697502]",768,16,256,256,4,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,128,1,1,1,1000,runs/metrics/sp01_d256_topk128.csv
sp01_d384_dense,ctm,5.47572557926178,3401.124495656348,33954.73828125,2.0833334922790527,2.25,4,-1.0,1.0,0.16513580363128166,102.57041166697184,0.05338504048360946,"[6.602607, 6.485874, 6.428445, 6.432321]","[0.798944, 0.737843, 0.725441, 0.710139]",768,16,384,256,4,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,none,384,1,1,1,1000,runs/metrics/sp01_d384_dense.csv
sp01_d384_topk192,ctm,5.428426599502563,3269.086281411571,34528.40625,2.25,2.8333334922790527,4,-1.0,0.5,0.1609894414947294,96.95044503148617,0.055991765666878544,"[6.717508, 6.559883, 6.497128, 6.454867]","[0.753025, 0.745338, 0.734972, 0.7134]",768,16,384,256,4,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,192,1,1,1,1000,runs/metrics/sp01_d384_topk192.csv
sp01_d512_dense,ctm,5.523455810546875,2727.738868356487,40834.98681640625,2.0833334922790527,2.8333334922790527,4,-1.0,1.0,0.13850913618337657,68.40224079795266,0.08074963255753746,"[6.85639, 6.6867, 6.595452, 6.551845]","[0.737391, 0.750106, 0.737918, 0.723715]",768,16,512,256,4,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,none,512,1,1,1,1000,runs/metrics/sp01_d512_dense.csv
sp01_d512_topk256,ctm,5.481033039093018,2621.6408518802596,41601.40087890625,2.4166667461395264,3.0,4,-1.0,0.5,0.13491319314867292,64.5305248287102,0.0849370596882928,"[6.814638, 6.722982, 6.57784, 6.513379]","[0.81511, 0.743769, 0.73842, 0.713026]",768,16,512,256,4,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,256,1,1,1,1000,runs/metrics/sp01_d512_topk256.csv
