experiment_name,model_type,loss,tokens_per_sec,peak_memory_mb,best_tick,conf_tick,tick_count,effective_tick,active_cell_fraction,losses_per_tick,certainties_per_tick,hidden_size,num_hidden_layers,d_model,d_input,iterations,memory_length,memory_hidden_dims,deep_nlms,synapse_depth,tick_loss_mode,elf_horizon_mode,elf_max_horizon,tick_improve_weight,tick_improve_margin,tick_halt_mode,tick_halt_threshold,tick_halt_temperature,tick_compute_weight,cell_sparsity_mode,cell_topk,cell_sparsity_rescale,self_cond,cross_layer_state,global_step,metrics_file
,,,649.9154326286538,69687.47607421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,runs/metrics/quick_probe_report.csv
bt__s00_ctm_smoke__bs10,ctm,13.261231422424316,15648.959988057362,4051.17724609375,1.7000000476837158,2.0,3,-1.0,1.0,"[7.466573, 7.159438, 7.098875]","[0.948034, 0.876664, 0.823366]",512,4,256,128,3,10,4,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,none,512,1,1,1,80,runs/metrics/bt__s00_ctm_smoke__bs10.csv
bt__s00_ctm_smoke__bs12,ctm,12.971059989929199,21723.944974132184,4776.232421875,1.6666667461395264,2.0,3,-1.0,1.0,"[7.588029, 7.387722, 7.361426]","[0.939417, 0.883065, 0.845676]",512,4,256,128,3,10,4,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,none,512,1,1,1,80,runs/metrics/bt__s00_ctm_smoke__bs12.csv
bt__s00_ctm_smoke__bs2,ctm,15.728803777694703,3135.9944701510926,1119.59521484375,1.0,2.0,3,-1.0,1.0,"[7.903073, 7.848366, 7.878964]","[0.930319, 0.872135, 0.83509]",512,4,256,128,3,10,4,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,none,512,1,1,1,80,runs/metrics/bt__s00_ctm_smoke__bs2.csv
bt__s00_ctm_smoke__bs4,ctm,15.148435115814209,9018.429185820582,1850.375,1.75,2.0,3,-1.0,1.0,"[7.649361, 7.505954, 7.474654]","[0.939918, 0.89843, 0.86927]",512,4,256,128,3,10,4,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,none,512,1,1,1,80,runs/metrics/bt__s00_ctm_smoke__bs4.csv
bt__s00_ctm_smoke__bs6,ctm,13.99886417388916,17667.937581108043,2608.59814453125,1.3333333730697632,2.0,3,-1.0,1.0,"[7.666904, 7.546416, 7.55912]","[0.930357, 0.870338, 0.831012]",512,4,256,128,3,10,4,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,none,512,1,1,1,80,runs/metrics/bt__s00_ctm_smoke__bs6.csv
bt__s00_ctm_smoke__bs8,ctm,13.61397933959961,15515.173573450866,3318.2939453125,1.875,2.0,3,-1.0,1.0,"[7.585507, 7.408914, 7.372828]","[0.934942, 0.880728, 0.844106]",512,4,256,128,3,10,4,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,none,512,1,1,1,80,runs/metrics/bt__s00_ctm_smoke__bs8.csv
bt__s00_transformer_smoke__bs10,transformer,17.214305448532105,63467.952919637195,929.26025390625,-1.0,-1.0,1,-1.0,1.0,[],[],512,4,256,128,3,10,4,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,none,512,1,1,1,80,runs/metrics/bt__s00_transformer_smoke__bs10.csv
bt__s00_transformer_smoke__bs12,transformer,17.050126218795775,178506.80966681516,1031.24755859375,-1.0,-1.0,1,-1.0,1.0,[],[],512,4,256,128,3,10,4,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,none,512,1,1,1,80,runs/metrics/bt__s00_transformer_smoke__bs12.csv
bt__s00_transformer_smoke__bs2,transformer,20.941821002960204,11391.421541612233,547.11376953125,-1.0,-1.0,1,-1.0,1.0,[],[],512,4,256,128,3,10,4,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,none,512,1,1,1,80,runs/metrics/bt__s00_transformer_smoke__bs2.csv
